gyrX,gyrY,gyrZ,magX,magY,magZ,accX,accY,accZ
0.136088,-0.021572,-0.013349,-30.379826,-38.492771,3.845291,-0.035913,10.666168,1.474828
0.242614,0.003995,-0.041046,-30.331532,-38.418686,3.263044,-0.039504,10.741586,1.410185
0.360858,0.028496,-0.058090,-30.403006,-38.399994,2.981955,0.044293,10.612299,1.405396
0.423709,0.041279,-0.069808,-30.806812,-38.207394,2.862419,0.038307,10.202890,1.355118
0.447145,0.044475,-0.098570,-31.319941,-37.827858,2.852019,0.077812,10.425551,1.018733
0.558998,0.035953,-0.114549,-31.530600,-37.720470,3.098580,0.102951,10.975020,0.869095
0.731570,0.025300,-0.058090,-31.590425,-38.138737,3.492060,0.056264,10.263943,1.134852
0.704939,0.000799,-0.070873,-31.754066,-38.681595,4.028571,0.120907,9.572019,0.970849
0.566454,-0.014115,-0.071939,-31.998791,-38.843117,4.836726,0.083797,9.387665,0.814029
0.378968,-0.024767,-0.066612,-32.204548,-38.557014,5.737040,0.096965,9.172187,0.617704
0.207460,-0.036485,-0.069808,-32.448200,-38.210857,6.628192,-0.065841,9.387665,0.458490
0.107325,-0.038616,-0.042111,-33.116299,-38.155910,7.595027,-0.051475,9.655815,0.354342
0.029561,-0.030094,-0.016545,-34.191891,-38.305729,8.479307,-0.184354,9.724051,0.377087
-0.023702,-0.016245,0.006891,-35.293716,-38.419758,9.074875,-0.189142,9.865308,0.404620
-0.067378,-0.000266,0.022870,-36.130566,-38.390198,9.370119,-0.208296,9.799467,0.365116
-0.114250,0.019974,0.025000,-36.556435,-38.283066,9.418944,-0.165200,9.804255,0.404620
-0.150469,0.034887,0.028196,-36.761093,-38.264015,9.355265,-0.099359,9.895236,0.435745
-0.181361,0.044475,0.028196,-36.878990,-38.320503,9.235612,-0.061052,9.967062,0.521936
-0.218646,0.045540,0.037784,-36.855064,-38.388222,8.894588,0.007183,9.946711,0.616507
-0.271909,0.043410,0.039914,-36.767971,-38.461437,8.322284,-0.038307,9.731233,0.735020
-0.343281,0.034887,0.034588,-36.733974,-38.472420,7.796741,0.049081,10.055647,0.775721
-0.335825,0.023170,0.052697,-36.674660,-38.479065,7.585467,0.041899,10.377667,0.647632
-0.260191,0.007191,0.071872,-36.340607,-38.581249,7.695033,0.067038,10.638636,0.797269
-0.154730,-0.002397,0.089982,-35.813057,-38.769810,7.802819,0.090980,10.648212,0.802058
-0.072704,-0.000266,0.100634,-35.367256,-38.925533,7.691486,-0.002394,10.369287,0.946907
-0.053530,0.009321,0.066546,-35.048740,-38.960518,7.467851,-0.002394,10.055647,0.913388
-0.056725,0.022104,0.025000,-34.839218,-38.990299,7.205159,-0.041899,10.168175,0.954089
-0.047138,0.034887,-0.004827,-34.649006,-39.085930,7.005508,0.045490,10.284293,0.966060
-0.025833,0.040214,-0.008023,-34.386894,-39.105007,6.875489,0.135272,10.253169,1.016339
-0.020506,0.025300,-0.000566,-34.038406,-39.068893,6.685692,0.229843,10.230424,1.033098
-0.026898,0.001864,0.017544,-33.747349,-39.072956,6.504919,0.300472,10.123882,1.027112
-0.014115,-0.019441,0.033523,-33.674950,-39.021175,6.334548,0.031125,10.303447,1.007959
0.018908,0.010386,0.054828,-33.706470,-38.938126,6.143487,-0.171185,10.383653,0.814029
0.052997,0.052997,0.052697,-33.662609,-38.693268,5.950674,-0.138864,9.985018,0.879869
0.030626,0.086020,0.000499,-33.650814,-38.196911,5.765500,-0.180762,9.828198,0.755371
-0.003462,0.164850,-0.047438,-33.849674,-37.856850,5.694863,-0.727837,9.862914,0.481235
-0.016245,0.380033,-0.143311,-33.821968,-37.884197,5.844585,-1.513135,9.840169,0.080206
-0.010919,0.686829,-0.227467,-33.736584,-38.035580,6.285551,-1.867477,9.734824,0.307655
-0.029028,0.949950,-0.306297,-33.037151,-38.166546,6.743567,-1.399411,9.755175,0.620098
-0.089749,1.131045,-0.382996,-29.693056,-38.313274,6.919639,-1.468843,9.595961,0.672771
-0.156860,1.343032,-0.419215,-24.211575,-38.432854,6.945372,-1.496376,10.048465,0.688333
-0.154730,1.492169,-0.396844,-18.209450,-38.621548,6.690917,-1.042675,10.204087,0.980426
-0.139816,1.509213,-0.392583,-11.967455,-38.862782,5.846049,-0.390255,10.091560,1.253365
-0.121706,1.379251,-0.376604,-5.876729,-38.836136,4.641865,0.559046,10.473435,1.622072
-0.051399,1.078847,-0.290318,-0.759304,-38.579910,3.587214,1.547851,10.931925,1.996764
0.029561,0.652741,-0.139050,3.259551,-38.412956,3.032799,1.820790,10.832565,2.177526
0.078563,0.210656,0.004760,6.615633,-38.401566,2.924225,1.787272,10.483012,2.199074
0.058323,-0.215450,0.107026,9.101593,-38.434952,2.999458,1.665167,10.217256,2.050634
0.046605,-0.643686,0.209291,10.410745,-38.481297,3.187081,1.814805,10.448297,2.144008
0.063650,-1.079379,0.316883,10.566869,-38.460461,3.474375,1.713051,10.230424,2.268506
0.045540,-1.390436,0.352037,9.651646,-38.179123,3.914762,0.545878,10.615891,1.792060
0.080694,-1.490571,0.437258,8.453050,-37.845493,4.369235,-0.168791,10.643424,1.301249
0.112652,-1.521464,0.490521,7.769184,-37.755627,4.487131,-0.344765,10.151415,1.298854
0.060454,-1.534247,0.491586,7.569571,-37.780853,4.177630,-0.515950,9.604341,1.362301
-0.054595,-1.515072,0.454302,7.976658,-37.840649,3.587369,-0.480037,9.560047,1.157596
-0.140881,-1.418133,0.393582,8.877949,-37.987850,2.854824,-1.205481,10.012551,0.608127
-0.109989,-1.170992,0.368016,9.684541,-38.207661,2.001853,-1.522712,10.127473,0.331597
-0.054595,-0.879109,0.294512,10.127208,-38.450779,1.063458,-1.513135,9.798270,0.407014
-0.063117,-0.568052,0.161354,10.363393,-38.646626,-0.012926,-1.713051,9.828198,0.241814
-0.058856,-0.210123,0.060154,10.665606,-38.761005,-1.205372,-1.970428,9.896433,0.039504
-0.038616,0.185090,-0.058090,10.997142,-38.834114,-2.266281,-2.098518,9.834184,-0.064643
-0.010919,0.606934,-0.183791,11.045692,-38.821373,-3.022502,-2.122460,10.030508,0.040701
0.044475,0.944623,-0.256229,10.785225,-38.712238,-3.347685,-1.351527,9.898827,0.624887
0.007191,1.111870,-0.343581,10.461472,-38.533604,-3.259877,-0.612916,9.834184,1.139640
-0.053530,1.172590,-0.368082,10.243196,-38.091206,-3.024646,-0.287304,10.068815,1.259350
-0.088683,1.188569,-0.355299,10.333168,-37.377052,-2.704921,-0.337582,10.256760,1.210269
-0.068443,1.272725,-0.329733,10.803337,-36.664017,-2.165530,-0.581791,10.569203,1.061828
0.024235,1.294030,-0.293514,11.429495,-36.083744,-1.552413,-0.189142,10.467450,1.442507
0.044475,1.232245,-0.326537,12.065547,-35.752876,-1.049505,-0.017957,10.054450,1.430536
0.032757,1.134240,-0.332928,12.822155,-35.678032,-0.588431,0.344765,10.086772,1.513135
0.013582,0.954211,-0.277535,13.747279,-35.709129,-0.091839,0.884658,10.060435,1.760935
-0.002397,0.672981,-0.216815,14.730184,-35.731140,0.446189,1.385046,10.400413,1.810017
0.027431,0.328900,-0.110288,15.604492,-35.602943,0.983066,1.593341,10.570400,1.914164
0.059388,-0.054595,0.005826,16.307585,-35.413490,1.410077,1.659182,10.413580,1.983596
0.047671,-0.415719,0.083590,16.819187,-35.333317,1.659804,1.435324,10.200497,1.884237
0.056193,-0.783236,0.174137,17.117882,-35.263382,1.742404,1.660379,10.372879,2.086547
0.071106,-1.120924,0.243380,17.311178,-35.166668,1.637968,0.912191,10.353725,1.845930
0.086020,-1.256213,0.339253,17.229534,-35.134541,1.476057,-0.195127,10.825383,1.207875
0.142479,-1.280714,0.448976,16.836847,-35.133877,1.317084,-0.287304,10.402806,1.262941
0.124370,-1.319064,0.448976,16.445911,-35.161083,1.044812,-0.424971,9.879673,1.369483
0.045540,-1.335043,0.418083,15.994940,-35.326687,0.821621,-0.550666,9.894038,1.180341
0.001864,-1.249822,0.397843,15.556692,-35.686253,0.646270,-0.852336,10.158598,0.700304
