gyrX,gyrY,gyrZ,magX,magY,magZ,accX,accY,accZ
-0.187720,-0.051233,0.093544,6.104954,-38.345169,7.429630,1.051354,9.103204,-1.725770
-0.111021,-0.055494,0.036019,6.043114,-38.358021,7.262678,1.074099,9.379734,-1.706617
-0.005559,-0.051233,-0.020440,6.027355,-38.363312,6.946681,0.963965,9.360580,-1.688660
0.107359,-0.051233,-0.081160,6.021877,-38.260025,6.770522,0.996287,9.336638,-1.614440
0.196841,-0.065081,-0.150402,5.770410,-38.079723,6.859056,1.008258,9.287558,-1.590498
0.263953,-0.066146,-0.179164,5.407403,-37.823448,7.085729,0.766444,9.224111,-1.583315
0.294845,-0.051233,-0.166381,5.285596,-37.656631,7.377554,0.650325,9.033772,-1.589301
0.276736,-0.028862,-0.133358,5.287654,-37.728168,7.656920,0.643142,8.736891,-1.645565
0.223473,-0.007557,-0.090747,5.259176,-37.927368,7.815294,0.645537,8.692598,-1.748515
0.167013,0.009488,-0.043876,5.385017,-38.102345,7.780509,0.671873,8.699780,-1.878999
0.124403,0.020140,-0.008722,5.782294,-38.156250,7.764194,0.667084,8.673445,-2.007089
0.097771,0.027597,0.024301,6.215714,-38.126823,7.997471,0.747290,8.620772,-2.047791
0.075401,0.025466,0.034954,6.417288,-38.137650,8.288926,0.798766,8.623166,-2.120814
0.069009,0.019075,0.043476,6.438536,-38.165558,8.446546,0.874183,8.625561,-2.143559
0.066879,0.009488,0.040280,6.339763,-38.062489,8.553581,0.819116,8.637531,-2.183063
0.062618,0.003096,0.031758,6.025067,-37.872723,8.615273,0.861015,8.677036,-2.229750
0.063683,-0.000100,0.025367,5.699236,-37.797886,8.672786,0.796371,8.683022,-2.242918
0.063683,0.005226,0.016844,5.655285,-37.881836,8.746613,0.851438,8.602816,-2.232144
0.058357,0.006292,0.002996,5.799197,-38.039848,8.769075,0.810737,8.588450,-2.208202
0.051965,0.008422,-0.004461,5.900418,-38.187111,8.777408,0.833481,8.633941,-2.187851
0.041312,0.014814,-0.006591,5.901826,-38.314934,8.658571,0.801160,8.691401,-2.155530
0.031725,0.024401,0.000866,5.884979,-38.393318,8.443139,0.780809,8.653094,-2.191443
0.013615,0.031858,-0.001265,5.862748,-38.358341,8.357838,0.802357,8.618378,-2.162712
-0.003429,0.035054,-0.003396,5.753269,-38.246456,8.440650,0.804751,8.693795,-2.119617
-0.025799,0.036119,-0.006591,5.623793,-38.134838,8.602207,0.805948,8.613589,-2.068141
-0.046039,0.037184,-0.007657,5.629169,-38.104824,8.680311,0.849044,8.732102,-2.113631
-0.053496,0.040380,-0.003396,5.757269,-38.119728,8.628864,0.815525,8.673445,-2.098069
-0.057757,0.038250,-0.003396,5.888931,-38.034363,8.525729,0.764050,8.740482,-2.063353
-0.064149,0.068077,-0.012983,5.981384,-37.873470,8.477712,0.317531,8.680627,-2.245312
-0.079063,0.185256,-0.058789,6.140734,-37.723198,8.510061,-0.158915,8.444798,-2.461987
-0.097172,0.356764,-0.121640,6.315430,-37.547916,8.456512,-0.245106,8.413673,-2.420089
-0.118477,0.528271,-0.213253,6.270027,-37.394077,8.226094,-0.174477,8.513033,-2.417695
-0.126999,0.693387,-0.285691,5.995346,-37.279732,7.928379,-0.090680,8.674642,-2.344672
-0.116347,0.816958,-0.322975,5.740667,-37.177673,7.716278,0.103250,8.758439,-2.116025
-0.117412,0.902179,-0.360259,5.634109,-37.146984,7.557008,0.388160,8.829067,-2.084901
-0.098237,0.947985,-0.351737,5.542282,-37.229660,7.307498,0.588076,8.909273,-1.929278
-0.085454,0.943724,-0.336823,5.473513,-37.423935,6.960772,0.857423,8.886529,-1.786823
-0.080128,0.906440,-0.308061,5.517093,-37.648716,6.561234,1.057339,8.869769,-1.669507
-0.068410,0.808436,-0.271842,5.561560,-37.858047,6.260831,1.420061,8.879346,-1.553388
-0.066279,0.646516,-0.246276,5.510980,-38.047333,6.261282,1.848623,8.867375,-1.408539
-0.058823,0.421745,-0.204731,5.308058,-38.203968,6.554655,2.076072,9.017013,-1.371429
-0.047105,0.157559,-0.136554,4.924520,-38.299034,6.960472,2.347814,9.076867,-1.301997
-0.032191,-0.126866,-0.040680,4.560177,-38.331123,7.235961,2.301127,9.042151,-1.254113
-0.025799,-0.402770,0.055194,4.365536,-38.311481,7.335164,2.066495,8.938004,-1.227777
-0.023669,-0.659499,0.142546,4.274765,-38.150562,7.420154,1.997064,9.075670,-1.291223
-0.017277,-0.869356,0.238419,4.267107,-37.982426,7.497310,1.645116,9.062502,-1.337910
-0.019408,-1.015297,0.317249,4.257072,-37.993122,7.510596,1.224933,8.999056,-1.420510
-0.025799,-1.074952,0.371578,4.233291,-38.087082,7.446544,0.635960,8.948778,-1.627608
-0.022604,-1.038733,0.405666,4.342479,-38.141495,7.241689,0.178667,8.945187,-1.813159
-0.017277,-0.919423,0.395013,4.671539,-38.134953,6.983045,-0.302567,8.771606,-2.011878
-0.019408,-0.727675,0.328967,5.217145,-38.173164,6.826586,-0.635361,8.706964,-2.236933
-0.024734,-0.462425,0.214984,5.713141,-38.135429,6.794631,-1.026813,8.608801,-2.436848
-0.011951,-0.144976,0.103131,5.908657,-37.950195,6.931077,-1.197999,8.740482,-2.451214
0.005093,0.182060,-0.006591,5.862201,-37.879585,7.105663,-0.998083,8.607604,-2.382979
0.002963,0.476073,-0.119509,5.737628,-37.922573,7.129815,-0.788590,8.736891,-2.289605
0.023203,0.705105,-0.206861,5.642201,-37.937344,7.165824,-0.322918,8.718934,-2.071733
0.031725,0.858503,-0.285691,5.563045,-37.875725,7.289728,0.131980,8.848221,-1.900547
0.049834,0.929876,-0.319779,5.431080,-37.832886,7.343037,0.513856,8.978705,-1.761684
0.074335,0.944790,-0.312322,5.267513,-37.984455,7.263504,0.792780,8.976311,-1.674295
0.080727,0.902179,-0.294213,5.166231,-38.288361,7.224937,1.258452,8.984691,-1.594089
0.097771,0.757303,-0.275038,5.160878,-38.560909,7.317109,1.888127,9.026589,-1.420510
0.114816,0.509097,-0.232427,5.186255,-38.645500,7.364397,2.199373,8.963143,-1.327136
0.107359,0.238519,-0.156794,5.161309,-38.608620,7.381291,2.353800,8.874557,-1.358261
0.091380,-0.036319,-0.039615,5.118057,-38.624916,7.454608,2.335843,8.938004,-1.319953
0.069009,-0.310092,0.072238,5.074145,-38.574272,7.465888,2.152687,8.824279,-1.353472
0.033855,-0.538058,0.158525,5.021994,-38.308384,7.386193,1.797148,8.820688,-1.549797
0.021072,-0.694652,0.241615,4.989686,-37.962135,7.338500,1.403301,8.813505,-1.662324
0.002963,-0.804375,0.286356,4.913664,-37.779957,7.389381,1.092055,8.718934,-1.740136
-0.015147,-0.872551,0.301270,4.785614,-37.830933,7.625600,0.808342,8.794352,-1.814356
-0.028995,-0.883204,0.305531,4.908106,-37.936119,8.025431,0.488716,8.797943,-1.943643
-0.024734,-0.831006,0.315119,5.408754,-37.940208,8.308933,0.256479,8.814702,-2.039411
-0.023669,-0.741524,0.305531,5.917445,-37.821507,8.391022,0.100856,8.750059,-2.092083
-0.028995,-0.625410,0.269312,6.194448,-37.653473,8.433526,-0.065541,8.699780,-2.166304
-0.024734,-0.485860,0.224571,6.261341,-37.539787,8.433511,-0.106243,8.727314,-2.247706
-0.016212,-0.330332,0.173438,6.126771,-37.608459,8.278987,-0.139762,8.712949,-2.242918
-0.007690,-0.175868,0.112718,5.908792,-37.854694,8.080588,-0.103849,8.692598,-2.265663
-0.000233,-0.020340,0.046672,5.902378,-38.033146,8.018900,-0.091877,8.704569,-2.300379
0.007224,0.130928,-0.009787,6.057662,-37.921200,8.079254,0.036212,8.696190,-2.189049
0.015746,0.240650,-0.054528,6.096744,-37.605469,8.290034,0.339079,8.769213,-2.050185
0.020007,0.310957,-0.088617,5.924695,-37.421051,8.546784,0.561740,8.787169,-1.978359
0.025333,0.336524,-0.104596,5.477396,-37.499569,8.597791,0.748487,8.835053,-1.906533
0.029594,0.331197,-0.107791,5.016979,-37.732590,8.569918,0.973542,8.813505,-1.858649
0.027464,0.287522,-0.102465,4.879691,-38.008896,8.627610,1.236905,8.812308,-1.795202
0.028529,0.205496,-0.089682,4.968029,-38.191940,8.625402,1.372177,8.868572,-1.762881
0.031725,0.102166,-0.060920,5.072006,-38.234741,8.506211,1.527800,8.867375,-1.711405
0.029594,-0.016079,-0.011918,5.148080,-38.231796,8.443958,1.460762,8.926033,-1.682675
0.028529,-0.110887,0.047737,5.166076,-38.207577,8.495454,1.302745,8.836250,-1.716194
0.014681,-0.180130,0.087152,5.167618,-38.088921,8.487156,1.150713,8.863784,-1.877802
0.009354,-0.225936,0.128697,5.279463,-37.858803,8.392718,0.906505,8.849419,-1.916110
0.010420,-0.241915,0.144676,5.436074,-37.664032,8.350387,0.829890,8.763227,-1.978359
0.007224,-0.239784,0.134024,5.508989,-37.672512,8.311696,0.714969,8.738088,-2.009483
0.013615,-0.216349,0.121240,5.424407,-37.836117,8.118799,0.615609,8.776395,-2.070536
0.021072,-0.169477,0.108457,5.281590,-37.982403,7.801044,0.579696,8.759636,-2.147150
0.025333,-0.116214,0.086087,5.287569,-37.987659,7.575523,0.559345,8.681825,-2.084901
0.023203,-0.057624,0.057325,5.467355,-37.909676,7.572313,0.592864,8.685415,-2.148347
0.025333,-0.005426,0.033889,5.739098,-37.940994,7.735298,0.635960,8.744074,-2.112434
0.031725,0.038250,0.011518,5.837654,-38.003460,7.960239,0.762852,8.693795,-2.047791
0.025333,0.063816,-0.012983,5.596447,-37.890282,8.170240,0.816722,8.742876,-2.058565
0.020007,0.076599,-0.020440,5.300104,-37.685932,8.450306,0.889745,8.778790,-2.037017
