gyrX,gyrY,gyrZ,magX,magY,magZ,accX,accY,accZ
0.233293,-0.104396,-0.076699,8.089086,4.733899,3.499726,0.664391,10.289082,1.065420
0.299339,-0.116114,-0.086286,8.005986,4.329577,3.368001,0.648829,10.600328,0.985214
0.398409,-0.125701,-0.090547,7.930823,3.940734,3.413661,0.647632,10.538078,1.005565
0.456998,-0.141680,-0.103331,7.904379,3.679956,3.624204,0.696713,10.334572,0.913388
0.518784,-0.162985,-0.139550,8.040718,3.634427,3.976006,0.615310,10.811018,0.784101
0.662594,-0.178964,-0.132093,8.362594,3.772264,4.504074,0.575805,11.027693,0.709881
0.758468,-0.183225,-0.103331,8.754961,4.086778,5.160604,0.602142,10.150218,0.768539
0.725445,-0.197074,-0.121440,9.058702,4.527610,5.718997,0.532710,9.647436,0.591368
0.639159,-0.199204,-0.139550,9.141433,4.896168,6.208847,0.465672,9.668983,0.239420
0.576308,-0.200270,-0.124636,8.939906,5.020730,6.850668,0.411803,9.706094,0.044293
0.510262,-0.196009,-0.108657,8.643094,5.032333,7.541963,0.330400,9.570822,-0.147243
0.445281,-0.187487,-0.100135,8.552913,5.001680,8.149918,0.344765,9.546879,-0.239420
0.377104,-0.177899,-0.100135,8.594406,4.896657,8.686681,0.219069,9.601946,-0.405817
0.332363,-0.157659,-0.084156,8.690802,4.925088,9.068503,0.156820,9.736021,-0.537498
0.278034,-0.138484,-0.076699,9.032236,5.040593,9.315802,0.243011,9.655815,-0.513556
0.201335,-0.133158,-0.079895,9.527367,5.129334,9.583492,0.114922,9.606734,-0.557849
0.143811,-0.120375,-0.102265,9.983322,5.350477,9.956502,0.137667,9.846154,-0.612916
0.147006,-0.101200,-0.087352,10.330456,5.665073,10.380301,0.135272,10.097546,-0.565032
0.148072,-0.082025,-0.072438,10.497514,5.962024,10.640537,0.094571,9.941922,-0.521936
0.126766,-0.071373,-0.080960,10.590037,6.221457,10.622676,0.102951,10.023325,-0.569820
0.127832,-0.053263,-0.064981,10.688033,6.396766,10.475533,0.124498,10.103531,-0.627281
0.138484,-0.043676,-0.061785,10.739552,6.571427,10.355160,0.153229,10.273520,-0.633266
0.150202,-0.037284,-0.044741,10.743825,6.726049,10.330787,0.220267,10.132261,-0.657208
0.141680,-0.034088,-0.046872,10.798923,6.706874,10.431318,0.110133,9.913192,-0.702698
0.103331,-0.034088,-0.063916,11.045545,6.697570,10.630988,0.154426,9.752781,-0.717063
0.053263,-0.037284,-0.075634,11.409045,6.962056,10.868172,0.137667,9.786300,-0.781707
0.013848,-0.053263,-0.053263,11.593099,7.304945,11.135705,0.404620,9.747993,-0.786495
-0.008522,-0.144876,-0.043676,11.536243,7.365011,11.439004,0.913388,9.855731,-0.580594
-0.036219,-0.284426,-0.024501,11.495462,7.245677,11.640541,1.037886,9.917980,-0.511162
-0.045806,-0.459129,0.022371,11.561297,7.252244,11.769515,1.379060,10.132261,-0.383072
-0.054328,-0.667921,0.078830,11.635492,7.390136,12.016898,1.438915,9.967062,-0.221464
-0.079895,-0.879908,0.120375,11.668706,7.504649,12.375607,1.334767,10.074800,-0.275333
-0.090547,-1.054612,0.170442,11.602463,7.494931,12.656730,1.132457,10.084377,-0.299275
-0.104396,-1.211206,0.209857,11.474130,7.380795,12.666792,0.937330,10.041282,-0.280122
-0.137419,-1.310275,0.226901,11.476877,7.133686,12.367703,0.477643,9.840169,-0.444124
-0.180030,-1.336907,0.235423,11.706179,6.737270,11.847116,0.141258,9.794679,-0.538695
-0.225836,-1.296427,0.224771,12.102728,6.332654,11.220103,-0.318429,9.829395,-0.627281
-0.260990,-1.190966,0.198139,12.471511,6.062954,10.562093,-0.709881,9.896433,-0.806846
-0.275903,-1.033306,0.168312,12.532608,6.043165,9.869877,-0.973243,9.906010,-0.937330
-0.289752,-0.830906,0.122505,12.391670,6.085271,9.134681,-1.070208,9.901221,-0.933739
-0.299339,-0.614658,0.064981,12.242618,5.924572,8.376468,-1.176750,10.141838,-0.954089
-0.271642,-0.385626,0.028762,11.986693,5.786730,7.593723,-1.268927,10.327389,-0.942118
