gyrX,gyrY,gyrZ,magX,magY,magZ,accX,accY,accZ
-0.202633,0.085121,0.072238,5.454396,-37.058666,8.080190,0.688632,8.133553,-2.393753
-0.292115,0.100035,0.123371,5.473220,-36.956646,8.229870,0.893337,8.217349,-2.426075
-0.356031,0.090448,0.144676,5.458683,-37.029041,8.393790,0.936432,8.384943,-2.433257
-0.374141,0.082991,0.161720,5.475753,-37.229351,8.502425,0.928052,8.620772,-2.418892
-0.349640,0.086187,0.197939,5.489549,-37.452171,8.429544,0.984316,8.665065,-2.299182
-0.319812,0.084056,0.202201,5.513391,-37.553471,8.120648,1.131560,8.772804,-2.035820
-0.253766,0.071273,0.171308,5.581470,-37.517868,7.611352,1.203386,9.295937,-2.062156
-0.102498,0.051033,0.128697,5.553204,-37.498451,7.047745,1.275212,9.759215,-2.118420
0.127599,0.022271,0.071173,5.350888,-37.668648,6.525200,1.167473,9.935189,-1.991527
0.352369,0.003096,0.021106,5.135287,-37.939980,6.110683,1.326687,9.524583,-1.782034
0.464222,-0.018209,-0.054528,5.045236,-38.040546,5.829521,1.252467,9.027786,-1.645565
0.477005,-0.036319,-0.106726,4.973539,-37.948727,5.682270,1.239299,8.541763,-1.582118
0.363022,-0.032058,-0.126966,4.776356,-37.785133,5.835905,1.053748,8.084471,-1.753304
0.172340,-0.008622,-0.129097,4.603019,-37.578465,6.370471,0.936432,7.945607,-1.877802
-0.002364,0.016944,-0.115248,4.638751,-37.305084,7.100211,0.895731,8.165874,-2.095675
-0.106759,0.038250,-0.081160,4.752374,-36.965584,7.689608,0.895731,8.489091,-2.210596
-0.152566,0.055294,-0.040680,4.806471,-36.661716,7.991376,0.882563,8.564508,-2.258480
-0.171741,0.063816,-0.010852,4.940203,-36.553783,8.155423,0.934038,8.638729,-2.163909
-0.179197,0.069142,0.011518,5.263649,-36.694416,8.236067,0.960374,8.732102,-2.187851
-0.166414,0.075534,0.030693,5.539441,-36.970463,8.216374,1.038186,8.935610,-2.135179
-0.123804,0.079795,0.051998,5.559721,-37.345608,8.108122,1.077690,8.994267,-2.137573
-0.066279,0.079795,0.058390,5.394571,-37.797749,7.845386,1.047763,8.971522,-2.159121
0.005093,0.077664,0.056259,5.114167,-38.122925,7.486650,1.121983,8.994267,-2.127996
0.070074,0.075534,0.049868,4.819381,-38.085548,7.242157,1.151910,8.911668,-2.144756
0.115881,0.076599,0.036019,4.561237,-37.763649,7.204551,1.157896,8.808717,-2.076521
0.139317,0.077664,0.024301,4.386540,-37.488358,7.243504,1.209371,8.814702,-2.062156
0.138251,0.085121,0.013649,4.286282,-37.453133,7.251924,1.147122,8.683022,-2.052579
0.118011,0.093643,0.006192,4.167188,-37.598911,7.258941,1.094449,8.644714,-1.998710
0.083923,0.109622,0.009388,4.047829,-37.638981,7.278746,1.074099,8.598027,-2.009483
0.053030,0.122406,0.015779,3.907432,-37.472160,7.300737,1.087267,8.633941,-2.028637
0.029594,0.133058,0.024301,3.814473,-37.269249,7.349113,1.082478,8.711752,-2.047791
0.016811,0.138385,0.031758,3.821959,-37.133812,7.445053,1.145925,8.770410,-2.070536
0.012550,0.137319,0.042411,3.712623,-37.042564,7.529870,1.209371,8.721329,-2.043002
0.010420,0.133058,0.047737,3.405829,-36.975639,7.548044,1.263241,8.788366,-2.066944
0.023203,0.124536,0.059455,3.080309,-36.992962,7.486253,1.230919,8.856601,-2.112434
0.038116,0.113883,0.066912,2.914210,-37.091640,7.339119,1.290774,8.756044,-2.110040
0.051965,0.098970,0.063716,3.079826,-37.239319,7.224892,1.315913,8.887726,-2.108843
0.082858,0.081925,0.067977,3.371082,-37.381172,7.223224,1.363797,8.831462,-2.196231
