gyrX,gyrY,gyrZ,magX,magY,magZ,accX,accY,accZ
-0.004228,-0.010919,0.014747,-1.106168,-30.150505,6.088457,-0.524330,10.041282,0.561440
-0.005293,-0.003462,0.013682,-1.048711,-30.195627,6.142876,-0.470461,10.060435,0.509965
0.001099,0.003995,0.010486,-0.925842,-30.087767,6.173003,-0.486023,10.042479,0.499191
0.007490,0.014647,0.010486,-0.825748,-29.750034,6.259797,-0.439336,10.052056,0.502782
0.009621,0.017843,0.009421,-0.682113,-29.399067,6.401011,-0.399832,10.072407,0.495600
0.009621,0.016778,0.006225,-0.501579,-29.170641,6.555108,-0.384269,10.096349,0.513556
0.012816,0.011452,0.004095,-0.472778,-29.031115,6.699698,-0.379481,9.998186,0.524330
0.002164,0.000799,-0.006558,-0.655763,-28.991362,6.781433,-0.353145,10.054450,0.561440
-0.003163,-0.011984,-0.014015,-0.873978,-29.021975,6.831814,-0.395043,10.147824,0.541090
0.003229,-0.016245,-0.008689,-0.872818,-29.094978,6.872094,-0.450110,10.110714,0.519542
0.006425,-0.015180,-0.005493,-0.648345,-29.218313,6.884730,-0.517148,10.066422,0.503979
0.005360,-0.011984,-0.003362,-0.465581,-29.370966,6.911354,-0.458490,10.029311,0.538695
0.004294,-0.010919,-0.002297,-0.517073,-29.507399,6.909695,-0.441730,10.001778,0.554258
0.001099,-0.011984,-0.007623,-0.640558,-29.609079,6.880012,-0.399832,9.976639,0.562637
-0.005293,-0.019441,-0.014015,-0.670056,-29.644342,6.946745,-0.415394,10.035296,0.545878
-0.004228,-0.024767,-0.016145,-0.678520,-29.640902,7.209624,-0.464475,10.096349,0.526724
-0.004228,-0.019441,-0.011884,-0.645571,-29.708738,7.603221,-0.505177,10.101137,0.466869
-0.017011,0.018908,-0.041712,-0.614211,-29.826876,7.818021,-1.108515,10.127473,0.308852
-0.052165,0.246875,-0.083257,-0.737165,-29.971455,7.861549,-2.646790,10.425551,-0.459687
0.016012,0.672981,0.047770,-0.864572,-30.209940,7.957475,-3.406949,11.010934,-0.447716
0.202434,1.078847,0.262954,-0.782573,-30.616253,8.036427,-2.747346,10.340557,0.114922
0.222674,1.314270,0.203299,-0.750306,-31.131853,7.976130,-1.675941,9.245210,0.548272
0.076732,1.387773,-0.009754,-1.070006,-31.438108,7.769960,-0.815226,9.489418,0.773327
0.023469,1.359011,-0.026798,-1.411781,-31.404278,7.577664,-0.045490,10.268731,0.870292
0.065014,1.231179,0.122339,-1.413914,-31.187592,7.552217,0.867898,10.171766,1.045069
0.046905,0.976581,0.199038,-1.419494,-31.007717,7.614192,1.565808,9.749189,1.258153
-0.035120,0.620783,0.170276,-1.714889,-31.007137,7.608174,2.080561,9.707291,1.370680
-0.095841,0.217048,0.109556,-2.131402,-31.209822,7.512262,2.116474,10.139444,1.159991
-0.068144,-0.170709,0.110621,-2.603021,-31.573233,7.420489,1.917756,10.443508,1.037886
-0.013815,-0.498810,0.129796,-3.076752,-31.835949,7.437786,1.673547,10.182540,0.849942
0.004294,-0.788562,0.114882,-3.510747,-31.767384,7.546318,1.690306,10.147824,0.930147
0.021339,-1.060204,0.078663,-3.841215,-31.508570,7.556606,1.320402,10.010158,1.011550
0.024534,-1.291367,0.037118,-3.955244,-31.358019,7.422436,0.961272,9.994595,0.973243
0.009621,-1.439439,-0.003362,-3.992471,-31.373232,7.314419,0.391452,9.982624,0.808043
-0.018076,-1.468201,-0.025733,-4.012443,-31.442078,7.391871,-0.480037,10.023325,0.466869
-0.037251,-1.333977,-0.037451,-3.745989,-31.567978,7.717869,-1.516727,10.223241,-0.075417
0.017078,-1.052748,0.025400,-3.147196,-31.657152,8.173354,-2.121263,10.165780,-0.333991
0.056492,-0.726777,0.040314,-2.657411,-31.657263,8.522852,-2.166753,9.603143,-0.211887
-0.022337,-0.419980,-0.091779,-2.480636,-31.671730,8.684319,-2.207454,9.362526,-0.210690
-0.103297,-0.088683,-0.186588,-2.399895,-31.624022,8.706561,-2.410961,9.991004,-0.353145
-0.093710,0.271376,-0.138651,-2.290462,-31.453157,8.621027,-2.389413,10.441113,-0.398635
-0.022337,0.586694,-0.041712,-2.126154,-31.230755,8.464078,-1.752556,10.269928,-0.077812
-0.006358,0.753941,-0.042777,-1.949044,-31.062578,8.259402,-0.957681,9.961076,0.410606
-0.036186,0.795486,-0.083257,-1.984344,-30.992533,8.086392,-0.305261,10.016143,0.642843
-0.055360,0.732636,-0.075800,-2.300513,-31.015766,8.012978,0.391452,10.072407,0.870292
-0.051099,0.588825,-0.023602,-2.665413,-31.130753,8.008767,0.985214,10.242394,0.970849
-0.048969,0.371511,0.016878,-2.929534,-31.275738,8.038471,1.379060,10.210073,1.096544
-0.039381,0.089216,0.033922,-2.982081,-31.312124,8.116863,1.572991,10.158598,1.183933
-0.041512,-0.197340,0.022204,-2.770614,-31.142603,8.194467,1.304840,10.017340,1.028310
-0.044708,-0.423176,0.009421,-2.592489,-30.916098,8.187514,0.903811,10.085575,0.905008
-0.039381,-0.570183,0.001964,-2.705267,-30.807520,8.231089,0.401029,10.043676,0.703895
-0.037251,-0.646882,-0.007623,-2.840374,-30.898329,8.344431,-0.031125,10.066422,0.628478
-0.031925,-0.650078,-0.027863,-2.743564,-31.171261,8.292685,-0.550666,10.115502,0.372298
-0.013815,-0.563791,-0.035320,-2.556452,-31.491547,8.119753,-1.149217,10.247183,0.253785
0.028795,-0.415719,-0.010819,-2.431859,-31.822969,7.995928,-1.393425,10.286688,0.128090
0.043709,-0.244212,-0.023602,-2.332750,-32.134727,7.900918,-1.442507,9.898827,0.183156
0.012816,-0.073770,-0.076865,-2.228167,-32.280132,7.874891,-1.410185,9.878476,0.193930
-0.004228,0.091346,-0.090714,-2.260731,-32.190838,7.951424,-1.313220,10.066422,0.237026
-0.001032,0.214917,-0.074735,-2.388392,-31.983416,8.065170,-1.006762,10.101137,0.380678
-0.003163,0.286290,-0.072604,-2.405353,-31.725973,8.139109,-0.799663,10.089166,0.471658
-0.002097,0.312921,-0.072604,-2.329742,-31.394308,8.008451,-0.458490,10.110714,0.563834
0.009621,0.295877,-0.058756,-2.198498,-31.063164,7.758428,-0.278924,10.152613,0.593762
0.018143,0.253267,-0.040646,-1.955980,-30.799553,7.535810,-0.093374,10.150218,0.681150
0.012816,0.187220,-0.025733,-1.682530,-30.620937,7.257844,-0.011971,10.199299,0.635661
0.023469,0.122239,0.010486,-1.539707,-30.503502,7.064815,-0.010774,10.054450,0.572214
0.024534,0.056193,0.037118,-1.472698,-30.483076,7.113870,0.010774,10.029311,0.572214
0.011751,-0.011984,0.025400,-1.380929,-30.661484,7.343065,-0.051475,10.018537,0.587777
0.000033,-0.063117,0.011551,-1.414274,-30.914385,7.612922,-0.197522,9.976639,0.544681
-0.019141,-0.087618,-0.004428,-1.634388,-31.152794,7.804238,-0.341174,10.011354,0.421380
-0.020207,-0.082292,-0.002297,-1.796203,-31.381632,7.994403,-0.444124,10.037690,0.404620
-0.019141,-0.064182,-0.000166,-1.764525,-31.456673,8.250299,-0.493206,10.073604,0.421380
-0.018076,-0.045007,-0.011884,-1.661553,-31.384014,8.338464,-0.488417,10.032902,0.445322
-0.014880,-0.029028,-0.027863,-1.470684,-31.359135,8.106376,-0.486023,10.044873,0.445322
-0.007424,-0.015180,-0.033190,-1.127157,-31.525299,7.752434,-0.429759,10.052056,0.429759
-0.002097,-0.003462,-0.021472,-0.823265,-31.779509,7.440055,-0.373495,10.065224,0.483629
-0.004228,0.002929,-0.010819,-0.732079,-31.817596,7.253903,-0.414197,10.170568,0.484826
-0.009554,-0.000266,-0.001232,-0.849608,-31.611305,7.268813,-0.373495,10.121488,0.530316
-0.011685,-0.008788,0.003029,-1.117785,-31.358829,7.391642,-0.355539,10.014946,0.523133
-0.014880,-0.020506,-0.003362,-1.300896,-31.149124,7.690160,-0.391452,10.108319,0.525527
-0.011685,-0.029028,-0.005493,-1.347747,-31.045900,8.176804,-0.357933,10.115502,0.559046
-0.010619,-0.036485,-0.004428,-1.439017,-31.073349,8.419415,-0.371101,10.087969,0.550666
-0.005293,-0.034355,0.006225,-1.518588,-31.142927,8.274756,-0.448913,10.143036,0.462081
-0.003163,-0.024767,0.014747,-1.517433,-31.263391,8.107393,-0.459687,10.087969,0.519542
-0.004228,-0.016245,0.008356,-1.492800,-31.473389,8.110784,-0.493206,10.083180,0.530316
-0.001032,-0.002397,0.000899,-1.536061,-31.580652,8.120820,-0.440533,10.034100,0.474052
0.001099,0.007191,-0.007623,-1.647724,-31.454306,8.072658,-0.416591,10.055647,0.469264
0.005360,0.010386,-0.011884,-1.740258,-31.182013,8.021082,-0.389058,10.128671,0.460884
0.007490,0.007191,-0.010819,-1.716259,-30.834539,7.918700,-0.381875,10.107122,0.562637
0.007490,-0.001332,-0.008689,-1.507738,-30.490248,7.856860,-0.374693,10.025720,0.505177
