gyrX,gyrY,gyrZ,magX,magY,magZ,accX,accY,accZ
-0.450840,0.003096,0.086087,4.558687,-37.941170,6.413311,1.136348,8.906879,-1.936460
-0.421012,-0.012883,0.125501,4.656109,-37.799389,6.351558,1.206977,8.863784,-1.779640
-0.370945,-0.027797,0.135089,4.702375,-37.816383,6.259232,1.244087,9.201366,-1.750910
-0.252701,-0.037384,0.139350,4.581789,-38.083855,6.201250,1.257255,9.501839,-1.809568
-0.085454,-0.048037,0.109522,4.241978,-38.372417,6.052449,1.277606,9.682601,-1.834707
0.119077,-0.059755,0.072238,3.909175,-38.524685,5.622368,1.245284,9.655067,-1.669507
0.277801,-0.068277,0.042411,3.839198,-38.668388,5.083525,1.367388,9.319879,-1.495927
0.338521,-0.075734,-0.008722,3.880060,-38.775410,4.569868,1.314716,9.148694,-1.370232
0.348108,-0.074668,-0.038549,3.847458,-38.724285,4.229806,1.263241,9.036166,-1.430087
0.317216,-0.072538,-0.061985,3.860237,-38.698746,4.232717,1.230919,8.768016,-1.524658
0.252235,-0.055494,-0.061985,3.995920,-38.840141,4.531951,1.047763,8.612392,-1.618031
0.146773,-0.016079,-0.028962,4.148550,-38.974136,4.943058,0.868197,8.303540,-1.752107
0.016811,0.020140,-0.007657,4.219673,-38.899826,5.222272,0.979528,8.316709,-1.855057
-0.081193,0.035054,0.004061,4.312022,-38.607124,5.264452,1.069310,8.493879,-1.916110
-0.134456,0.036119,0.021106,4.470459,-38.282909,5.244462,1.123180,8.536975,-1.916110
-0.154696,0.027597,0.037085,4.510324,-38.171135,5.228429,1.263241,8.769213,-1.920898
-0.147240,0.012683,0.054129,4.441129,-38.227486,5.172922,1.360206,8.847024,-1.912518
-0.129130,-0.004361,0.056259,4.392931,-38.219360,5.258013,1.251270,8.847024,-1.910124
-0.093976,-0.015014,0.050933,4.319764,-38.182053,5.527026,1.308730,8.953567,-1.912518
-0.043909,-0.021405,0.040280,4.308540,-38.242115,5.800932,1.270423,8.954763,-1.952023
0.013615,-0.024601,0.026432,4.492433,-38.307095,5.933875,1.240496,8.952369,-1.995118
0.056226,-0.021405,0.010453,4.673723,-38.331871,5.854406,1.217751,8.897303,-1.924489
0.094576,-0.013948,-0.003396,4.654572,-38.302845,5.570451,1.244087,8.911668,-1.959205
0.111620,-0.005426,-0.016179,4.573174,-38.209335,5.200508,1.217751,8.784775,-1.907730
0.111620,0.006292,-0.023636,4.522701,-38.222309,4.981503,1.157896,8.778790,-1.931672
0.107359,0.014814,-0.018309,4.452450,-38.476574,4.967017,1.175852,8.708160,-1.845481
0.084988,0.022271,-0.023636,4.342122,-38.840286,4.993690,1.172261,8.738088,-1.883788
