gyrX,gyrY,gyrZ,magX,magY,magZ,accX,accY,accZ
0.025333,0.000965,0.105261,4.704378,-37.677094,8.843998,0.989105,8.663868,-2.312350
0.043443,0.009488,0.083956,4.669819,-37.577225,9.090237,1.004667,8.662671,-2.329109
0.055161,0.027597,0.062651,4.540629,-37.218678,8.986102,1.020229,8.645911,-2.373402
0.063683,0.047837,0.046672,4.332432,-36.970875,8.779784,1.023821,8.635138,-2.355446
0.053030,0.061685,0.027497,3.979254,-37.136795,8.610047,1.120786,8.508245,-2.264466
0.030660,0.064881,0.002996,3.597055,-37.452606,8.342918,1.258452,8.586056,-2.230947
0.011485,0.058490,-0.007657,3.380581,-37.525108,7.978230,1.287183,8.655488,-2.230947
-0.004494,0.041445,-0.014048,3.241571,-37.377972,7.713376,1.337461,8.601619,-2.166304
-0.014081,0.016944,-0.015113,3.122535,-37.258991,7.697094,1.296759,8.668656,-2.165107
-0.020473,-0.010753,-0.011918,3.081143,-37.266098,7.966063,1.296759,8.689007,-2.119617
-0.030060,-0.034188,-0.008722,3.159258,-37.361698,8.318021,1.280000,8.683022,-2.159121
-0.033256,-0.056559,-0.007657,3.338372,-37.495483,8.476628,1.217751,8.709357,-2.147150
-0.034321,-0.067212,-0.005526,3.545110,-37.576492,8.422419,1.133954,8.727314,-2.178275
-0.030060,-0.066146,-0.005526,3.738962,-37.542015,8.306993,1.070507,8.722526,-2.210596
-0.023669,-0.054428,-0.002330,3.903132,-37.474060,8.318796,1.038186,8.777593,-2.215385
-0.016212,-0.042710,-0.003396,4.050319,-37.462952,8.448414,1.005864,8.736891,-2.259677
-0.001298,-0.027797,-0.001265,4.160258,-37.451500,8.564098,1.048960,8.730906,-2.240524
0.007224,-0.012883,0.004061,4.275184,-37.412460,8.665077,0.999878,8.795548,-2.238130
0.008289,-0.000100,0.010453,4.399433,-37.412510,8.724195,1.054945,8.751256,-2.307562
0.013615,0.014814,0.021106,4.369921,-37.401531,8.736771,1.104026,8.703372,-2.235735
0.014681,0.022271,0.024301,4.243123,-37.313217,8.739476,1.125574,8.663868,-2.230947
0.011485,0.029728,0.026432,4.228580,-37.324230,8.751778,1.124377,8.639926,-2.263269
0.001898,0.033989,0.024301,4.285375,-37.499264,8.781072,1.172261,8.651896,-2.181866
-0.016212,0.037184,0.027497,4.201687,-37.688301,8.708760,1.200991,8.530990,-2.180669
-0.055627,0.031858,0.026432,3.933855,-37.772366,8.528004,1.287183,8.424448,-2.184260
-0.113151,0.020140,0.026432,3.735022,-37.670887,8.375778,1.259649,8.359804,-2.127996
-0.190915,0.008422,0.030693,3.712428,-37.530575,8.386083,1.308730,8.254459,-2.145953
-0.272941,0.000965,0.004061,3.733713,-37.429699,8.516243,1.108815,8.525004,-2.260875
-0.285724,0.015879,0.015779,3.741590,-37.279369,8.558596,1.063325,8.635138,-2.274043
-0.285724,0.038250,0.000866,3.756104,-37.120575,8.461352,1.123180,8.604012,-2.227356
-0.276137,0.051033,-0.025766,3.741273,-36.929512,8.301617,1.070507,8.708160,-2.119617
-0.247374,0.054229,-0.058789,3.656010,-36.700886,8.158229,1.229722,8.791958,-2.022651
-0.209025,0.027597,-0.098204,3.524148,-36.633102,8.021750,1.458368,8.857799,-1.864634
-0.147240,-0.065081,-0.137619,3.440501,-36.864006,7.827209,2.113182,8.988282,-1.564162
-0.073736,-0.291982,-0.191947,3.530093,-37.222134,7.554638,2.784756,9.052925,-1.172710
-0.004494,-0.600909,-0.202600,3.684583,-37.481209,7.253415,3.146280,9.462334,-1.082927
0.089249,-0.936467,-0.098204,3.719363,-37.641113,7.071507,3.090017,9.536554,-0.983568
0.147839,-1.243263,0.048802,3.689765,-37.765911,7.027507,2.643498,9.225308,-0.952443
0.136121,-1.479752,0.165982,3.739530,-37.804146,7.015192,1.995866,9.060108,-1.074548
0.111620,-1.616106,0.257594,4.038310,-37.717773,7.039917,1.154305,8.991874,-1.305588
0.078597,-1.624628,0.314053,4.618056,-37.617268,7.111695,0.268450,8.881741,-1.647959
0.041312,-1.509580,0.342815,5.273698,-37.425419,7.252069,-0.275034,8.867375,-1.888576
0.016811,-1.319963,0.343881,5.920542,-37.197750,7.517533,-0.630573,8.741679,-2.056170
-0.006625,-1.085604,0.308727,6.537501,-37.235207,7.836382,-0.855628,8.613589,-2.228553
-0.031126,-0.809701,0.255464,7.094285,-37.466393,7.969728,-0.943016,8.637531,-2.360234
-0.033256,-0.524210,0.209657,7.662861,-37.655724,7.841068,-0.933439,8.656685,-2.341080
-0.048170,-0.216349,0.132958,8.168568,-37.668545,7.702544,-1.265036,8.577677,-2.525434
-0.070540,0.158625,0.053063,8.513331,-37.534416,7.705019,-1.379958,8.626758,-2.628385
-0.051366,0.520814,-0.015113,8.727298,-37.370956,7.759357,-1.092654,8.711752,-2.481141
-0.050300,0.807371,-0.115248,8.852262,-37.211227,7.916241,-0.733524,8.540566,-2.174683
-0.054562,1.015097,-0.224971,8.819576,-37.173058,8.136737,-0.271443,8.665065,-2.054973
-0.048170,1.167430,-0.305931,8.519055,-37.420689,8.124321,0.012270,8.910471,-1.958008
-0.027930,1.300588,-0.330432,8.163996,-37.800442,7.958406,0.201412,8.860192,-1.888576
-0.020473,1.378352,-0.349606,8.018662,-38.006615,7.838672,0.644340,8.784775,-1.679084
-0.022604,1.377287,-0.359194,8.000181,-38.000076,7.690724,1.166276,8.860192,-1.486350
-0.019408,1.282478,-0.377303,7.924832,-37.981236,7.516600,1.701380,8.807520,-1.357063
-0.011951,1.079013,-0.399674,7.777792,-38.019077,7.410132,2.326266,8.930821,-1.220594
0.015746,0.787131,-0.383695,7.536984,-37.957481,7.372798,2.757222,9.129540,-1.111658
0.048769,0.475008,-0.313387,7.165132,-37.845322,7.362646,2.706944,9.285163,-1.231368
0.090314,0.171408,-0.203665,6.744464,-37.760773,7.338409,2.730886,9.166650,-1.211017
0.102032,-0.143911,-0.116314,6.338841,-37.661541,7.282660,2.513014,8.936807,-1.203835
0.086053,-0.418749,-0.051332,5.931941,-37.753456,7.222479,2.042553,8.849419,-1.364246
0.060487,-0.620084,0.013649,5.649943,-38.126667,7.172390,1.582867,8.881741,-1.540220
0.054095,-0.750046,0.089282,5.661461,-38.500759,7.123432,1.123180,8.930821,-1.663521
0.053030,-0.813962,0.153198,5.840041,-38.623028,7.084813,0.635960,8.915259,-1.794005
0.047704,-0.806505,0.206462,6.046635,-38.482052,7.132967,0.289998,8.885331,-1.965191
0.047704,-0.740459,0.253333,6.254737,-38.213455,7.243046,-0.054767,8.878149,-2.054973
0.032790,-0.608366,0.269312,6.451971,-37.937042,7.361159,-0.550367,8.819490,-2.246509
0.029594,-0.395313,0.277834,6.663980,-37.815403,7.489807,-0.825700,8.781183,-2.466776
0.035986,-0.152433,0.246942,6.915312,-37.880905,7.657701,-0.913089,8.572888,-2.470367
0.017876,0.105361,0.151068,7.164982,-37.919338,7.856083,-0.896329,8.369381,-2.509871
0.004028,0.354633,0.051998,7.333892,-37.862713,7.955812,-0.649727,8.473529,-2.398541
-0.007690,0.578339,-0.028962,7.370027,-37.859367,7.959659,-0.366014,8.648306,-2.299182
-0.008755,0.757303,-0.083290,7.185376,-37.895252,7.873861,0.092476,8.562114,-2.111237
-0.020473,0.852112,-0.151467,6.901883,-37.808838,7.717659,0.503082,8.614787,-1.958008
-0.018343,0.879809,-0.205796,6.746989,-37.666840,7.631692,0.889745,8.802732,-1.820341
0.000832,0.859569,-0.224971,6.639349,-37.644997,7.626605,1.191415,8.863784,-1.788020
0.008289,0.799914,-0.231362,6.485191,-37.743759,7.602890,1.327884,8.829067,-1.704223
0.010420,0.710432,-0.227101,6.412304,-37.880730,7.500000,1.532588,8.788366,-1.633594
0.008289,0.588991,-0.221775,6.495787,-37.979450,7.319194,1.685817,8.838644,-1.628805
0.010420,0.439854,-0.207926,6.577127,-37.995773,7.048162,1.909675,8.920048,-1.612046
0.034921,0.250237,-0.164250,6.433371,-37.939556,6.848341,2.001852,9.003844,-1.522263
0.047704,0.051033,-0.103530,6.107694,-37.815182,6.856481,2.010231,8.996662,-1.554585
0.061552,-0.140715,-0.022570,5.745275,-37.757126,6.947576,1.870171,9.043348,-1.580921
0.064748,-0.301570,0.046672,5.451755,-37.815491,7.149659,1.630751,8.837447,-1.695843
0.050900,-0.423010,0.094609,5.383022,-37.812180,7.484009,1.360206,8.842236,-1.741333
0.055161,-0.495448,0.147872,5.436147,-37.764832,7.755586,1.120786,8.891317,-1.858649
0.056226,-0.542319,0.179830,5.448849,-37.810135,7.853855,0.971148,8.750059,-1.919701
0.054095,-0.563625,0.200070,5.558689,-37.949329,7.836004,0.752079,8.793155,-1.956811
0.055161,-0.552972,0.219245,5.855259,-38.119766,7.886293,0.699406,8.833856,-2.029834
0.051965,-0.528471,0.232028,6.210324,-38.256477,8.122832,0.634763,8.714146,-2.019060
0.042378,-0.484795,0.236289,6.404510,-38.335766,8.356266,0.516250,8.790760,-2.125602
0.039182,-0.416618,0.240550,6.321135,-38.343040,8.422227,0.395343,8.740482,-2.184260
0.037051,-0.328201,0.235224,6.121512,-38.284771,8.409984,0.328305,8.671050,-2.236933
0.031725,-0.233393,0.204331,5.980030,-38.161629,8.333584,0.376189,8.581267,-2.242918
0.026399,-0.142845,0.155329,5.879549,-37.912868,8.212159,0.389357,8.608801,-2.244115
0.030660,-0.059755,0.107392,5.788676,-37.608795,8.123032,0.456395,8.679430,-2.264466
0.031725,0.018010,0.064781,5.779767,-37.412735,8.052125,0.536600,8.669853,-2.223764
0.029594,0.086187,0.024301,5.915691,-37.321915,7.989112,0.623989,8.694992,-2.179472
0.029594,0.135189,-0.001265,6.138419,-37.269642,7.942342,0.787992,8.697387,-2.159121
0.028529,0.161820,-0.017244,6.254586,-37.246132,8.016513,0.911293,8.750059,-2.124405
