gyrX,gyrY,gyrZ,magX,magY,magZ,accX,accY,accZ
-0.305731,-0.124636,-0.054328,-11.505800,30.818359,-27.304060,0.530316,10.636241,-0.925359
-0.249272,-0.142745,-0.094809,-11.667459,30.744753,-27.452721,0.313640,11.682508,-1.159991
-0.091613,-0.145941,-0.073503,-11.706474,30.740084,-27.671423,0.043096,11.653777,-0.988805
0.113983,-0.111853,0.009587,-11.441650,30.695030,-27.880287,0.142455,10.398018,-1.031901
0.173638,-0.087352,-0.031958,-10.980217,30.535685,-28.057945,-0.101754,9.363723,-1.012747
0.143811,-0.073503,-0.132093,-10.634998,30.427530,-28.289461,-0.192733,9.180567,-1.110910
0.129962,-0.060720,-0.160855,-10.651165,30.513700,-28.604794,-0.202310,9.340978,-1.230620
0.070307,-0.044741,-0.123571,-10.896112,30.764696,-28.808653,-0.125696,9.120711,-1.192312
-0.041545,-0.041545,-0.103331,-11.112755,31.059568,-28.785297,-0.032322,9.052477,-1.319205
-0.138484,-0.047937,-0.064981,-11.317533,31.331875,-28.732281,0.070629,9.157822,-1.280898
-0.200270,-0.094809,-0.058590,-11.461260,31.569191,-28.631058,0.167594,9.515755,-1.298854
-0.216249,-0.169377,-0.049002,-11.324682,31.683426,-28.482309,0.349553,9.910798,-1.146823
-0.226901,-0.251402,-0.020240,-11.051575,31.671726,-28.488773,0.322020,9.987412,-1.003170
-0.255663,-0.321710,-0.014914,-10.975179,31.602201,-28.701704,0.299275,10.225636,-0.999579
-0.246076,-0.369647,0.003196,-10.560368,29.877348,-30.207525,0.130484,10.655395,-0.986411
-0.169377,-0.398409,0.030893,-9.784227,24.526258,-30.536535,0.004788,10.868479,-0.978031
-0.104396,-0.398409,0.071373,-16.368519,8.842147,-25.954782,-0.087388,10.811018,-0.921768
-0.079895,-0.367516,0.086286,-26.390175,-6.951263,-18.436136,-0.184354,10.769119,-0.958878
-0.053263,-0.332363,0.086286,-23.320822,-0.066300,-8.477851,-0.187945,10.794258,-0.928950
0.004261,-0.295078,0.119310,-13.035136,15.685717,2.658766,-0.073023,10.699687,-0.873884
0.030893,-0.280165,0.117179,-4.368870,26.514353,10.317928,0.065841,10.279505,-0.786495
0.011718,-0.281230,0.088417,3.947752,38.005531,14.085608,-0.017957,10.149021,-0.998382
0.000000,-0.258859,0.078830,8.505965,44.027336,15.963917,0.049081,10.235212,-1.084573
0.030893,-0.237554,0.131028,9.333440,44.007557,16.562309,0.014365,10.064027,-1.086968
0.017044,-0.219444,0.117179,9.072636,41.880802,15.719960,0.161609,9.680955,-1.059434
-0.036219,-0.209857,0.085221,8.888049,37.350124,13.836282,0.192733,9.606734,-0.974440
-0.079895,-0.211988,0.050067,9.845145,33.204346,11.780455,0.374693,9.818622,-0.894234
-0.070307,-0.219444,0.079895,11.551838,30.433926,9.691323,0.326809,9.864111,-0.901417
-0.071373,-0.232228,0.089482,12.607353,28.955566,7.621447,0.403423,9.913192,-0.845153
-0.077764,-0.242880,0.073503,12.447430,29.688757,5.614117,0.220267,10.213664,-0.964863
-0.050067,-0.232228,0.062851,11.316988,30.991272,3.734482,0.101754,10.591949,-1.103727
0.017044,-0.215183,0.079895,10.749049,34.865791,1.583060,0.217872,11.038467,-1.288081
0.103331,-0.185356,0.158724,10.885372,37.379276,-0.275252,0.148441,10.633847,-1.163582
0.117179,-0.160855,0.182160,10.120955,31.613739,-0.606601,0.229843,10.038888,-1.181539
0.084156,-0.128897,0.204531,8.686296,23.026613,-0.104577,0.283713,9.775525,-1.315614
0.029827,-0.116114,0.173638,6.075530,11.546511,1.912645,0.294487,9.856929,-1.356315
0.023436,-0.104396,0.194943,3.346841,-2.806753,4.934603,0.391452,9.734824,-1.254562
0.014914,-0.111853,0.170442,3.490300,-12.715693,6.234359,0.541090,9.616311,-1.181539
0.001065,-0.139550,0.113983,6.171225,-16.859905,5.585583,0.723049,9.751583,-1.029507
-0.013848,-0.174703,0.078830,9.577847,-17.356310,4.164326,0.775721,9.938332,-0.810437
-0.001065,-0.214118,0.066046,11.055930,-16.525843,2.801519,0.782904,9.952697,-0.752976
0.003196,-0.254598,0.024501,7.944117,-16.125992,1.851738,0.711078,9.885659,-0.863110
0.025566,-0.285491,-0.011718,1.597153,-16.433126,1.224361,0.490811,10.056845,-0.830788
0.070307,-0.292948,0.007457,-4.079086,-16.111355,0.257985,0.458490,10.041282,-0.893037
0.079895,-0.286556,0.024501,-6.695238,-14.262840,-1.128190,0.342371,10.044873,-1.009156
0.093743,-0.252468,0.038350,-6.434894,-11.248070,-2.534496,0.164003,10.517728,-1.152808
0.187487,-0.174703,0.123571,-5.101251,-10.358668,-2.969541,0.077812,10.822989,-1.411382
0.290817,-0.091613,0.226901,-4.256824,-13.170501,-1.864068,0.020351,10.619482,-1.435324
0.338754,-0.028762,0.264186,-3.882943,-15.150512,-1.239118,0.240617,10.143036,-1.525106
0.336624,0.009587,0.314253,-3.739832,-15.323249,-1.247236,0.490811,9.961076,-1.364695
0.270577,0.031958,0.413323,-3.989914,-16.594227,-0.116003,0.660800,9.436746,-1.465251
0.126766,0.025566,0.374973,-3.972340,-19.404860,1.747608,0.901417,9.483433,-1.401805
0.038350,0.004261,0.329167,-2.862145,-22.571955,3.344289,0.986411,10.303447,-1.787272
0.104396,0.001065,0.366451,-0.689370,-25.598919,4.616573,0.940921,10.606314,-1.776498
0.189617,0.005326,0.407996,1.203175,-27.605494,5.668037,0.984017,9.834184,-1.810017
0.132093,0.009587,0.380299,1.301924,-27.267317,6.470006,1.211466,9.212888,-1.490391
-0.003196,-0.005326,0.273773,0.083242,-25.517433,7.283526,1.321599,9.184157,-1.249773
-0.079895,-0.040480,0.187487,-0.927825,-24.233082,8.576867,1.248576,9.320627,-1.121683
-0.125701,-0.061785,0.073503,-1.290041,-23.906315,10.197014,1.323994,9.260772,-1.079785
-0.154463,-0.086286,-0.054328,-1.359745,-24.146105,11.578284,1.256956,9.564836,-1.165976
-0.158724,-0.059655,-0.100135,-1.335334,-24.727781,12.631418,1.078588,9.916783,-1.270124
-0.141680,-0.023436,-0.116114,-1.315347,-25.372435,13.349051,1.071405,10.392033,-1.430536
-0.124636,0.011718,-0.107592,-1.375660,-25.845324,13.645620,1.273715,10.670957,-1.426944
-0.075634,0.049002,-0.061785,-1.373307,-25.964409,13.697227,1.261744,9.856929,-1.304840
-0.107592,0.007457,-0.161920,-1.237566,-25.787020,13.695859,0.918176,9.617508,-1.176750
-0.124636,0.013848,-0.189617,-0.831936,-26.648897,13.327423,1.304840,9.896433,-0.931344
-0.150202,-0.026632,-0.240750,-0.011701,-30.019199,12.347208,1.067814,9.740809,-0.940921
-0.188552,-0.056459,-0.289752,0.877727,-34.789307,11.171935,1.151611,10.199299,-1.174356
-0.142745,-0.087352,-0.276969,1.667248,-38.602951,10.103541,0.916979,10.663774,-1.277307
-0.058590,-0.102265,-0.222640,2.365234,-40.895267,9.141580,0.776918,10.441113,-1.472434
-0.023436,-0.103331,-0.186421,3.074974,-42.243908,8.520977,0.594959,10.036493,-1.462857
-0.049002,-0.098004,-0.176834,4.328453,-42.760193,8.457698,0.466869,9.830592,-1.368286
-0.088417,-0.071373,-0.152333,6.063261,-42.643391,8.776563,0.310049,9.856929,-1.362301
-0.118244,-0.019175,-0.121440,7.595447,-42.380974,9.096042,0.310049,9.904813,-1.430536
-0.106526,0.034088,-0.062851,8.623627,-42.130650,9.204107,0.373495,10.036493,-1.387440
-0.082025,0.071373,-0.005326,9.222405,-41.772346,9.219502,0.550666,10.056845,-1.298854
-0.084156,0.078830,0.015979,9.586648,-41.284943,9.261825,0.762553,9.957485,-1.209072
-0.106526,0.058590,-0.009587,9.855853,-40.847206,9.264089,0.730232,10.165780,-1.289278
-0.090547,0.042611,-0.019175,10.041224,-40.594082,9.202233,0.763750,10.314221,-1.261744
-0.043676,0.041545,-0.007457,10.090472,-40.568314,9.166541,0.657208,10.291476,-1.243788
-0.006392,0.034088,-0.042611,9.857113,-40.834381,9.194948,0.666785,10.218452,-1.296460
0.021305,0.027697,-0.072438,9.475591,-41.291084,9.174112,0.490811,10.089166,-1.274912
0.014914,0.033023,-0.096939,9.262144,-41.689041,9.104191,0.532710,10.053253,-1.286883
-0.008522,0.041545,-0.095874,9.230609,-41.980156,9.187980,0.575805,10.210073,-1.225831
0.000000,0.042611,-0.091613,9.292197,-42.192318,9.491899,0.591368,10.321404,-1.328782
0.036219,0.035154,-0.063916,9.400913,-42.309921,9.840790,0.571017,10.269928,-1.302446
0.049002,0.025566,-0.030893,9.466077,-42.344238,9.978782,0.760159,9.968259,-1.134852
0.015979,-0.014914,-0.019175,9.542080,-42.346825,9.825424,0.803255,9.860519,-1.154005
-0.025566,-0.049002,-0.024501,9.756678,-42.393139,9.592971,0.881066,9.951499,-1.265336
-0.011718,-0.078830,-0.017044,10.039525,-42.525394,9.561760,0.744597,10.192117,-1.244985
0.025566,-0.098004,0.020240,10.328668,-42.642830,9.810997,0.742203,9.949105,-1.185130
0.005326,-0.116114,0.008522,10.548731,-42.536930,10.115143,0.720655,9.625888,-1.200692
-0.053263,-0.117179,-0.029827,10.662548,-42.226562,10.296227,0.608127,9.769540,-1.253365
-0.067112,-0.107592,-0.017044,10.732784,-41.909676,10.427226,0.475249,9.946711,-1.248576
-0.070307,-0.089482,-0.018109,10.738608,-41.726635,10.552915,0.409408,9.914390,-1.307234
-0.074569,-0.061785,-0.067112,10.682826,-41.584370,10.606645,0.356736,10.158598,-1.410185
-0.009587,-0.030893,-0.062851,10.564122,-41.415512,10.541140,0.407014,10.431537,-1.486799
0.052198,-0.011718,-0.047937,10.483408,-41.386147,10.416810,0.451307,10.066422,-1.307234
0.022371,-0.003196,-0.066046,10.540737,-41.503445,10.288999,0.508768,9.755175,-1.240196
-0.038350,0.002131,-0.096939,10.593263,-41.652729,10.140287,0.477643,10.018537,-1.260547
-0.038350,0.014914,-0.067112,10.618249,-41.802574,9.892262,0.535104,10.243592,-1.262941
