gyrX,gyrY,gyrZ,magX,magY,magZ,accX,accY,accZ
-0.035154,-0.007457,0.002131,22.505512,-44.121738,-11.855398,-0.532710,10.093954,0.396240
-0.036219,-0.009587,0.002131,22.717699,-44.020756,-11.721675,-0.521936,10.121488,0.399832
-0.037284,-0.014914,0.000000,22.844318,-43.796707,-11.775763,-0.551863,10.126276,0.357933
-0.029827,-0.014914,0.001065,22.934692,-43.543388,-12.146383,-0.537498,10.166978,0.391452
-0.026632,-0.015979,-0.001065,23.064098,-43.341084,-12.461193,-0.514753,10.155006,0.399832
-0.015979,-0.020240,0.003196,23.097452,-43.158657,-12.553408,-0.483629,10.133459,0.383072
0.001065,-0.020240,0.005326,22.944712,-42.977287,-12.476522,-0.512359,10.151415,0.367510
0.001065,-0.028762,-0.008522,22.763021,-42.965954,-12.334093,-0.471658,9.987412,0.356736
-0.004261,-0.036219,-0.012783,22.692551,-43.067760,-12.262790,-0.544681,10.126276,0.339977
-0.002131,-0.035154,-0.006392,22.703997,-43.040138,-12.150491,-0.554258,10.077195,0.308852
-0.006392,-0.030893,-0.002131,22.722605,-42.956169,-12.011152,-0.545878,10.105926,0.329203
-0.009587,-0.024501,-0.004261,22.666719,-43.099457,-11.901329,-0.597353,10.075998,0.354342
-0.005326,-0.019175,-0.009587,22.497240,-43.337765,-11.708571,-0.592565,10.119094,0.319626
-0.003196,-0.019175,-0.012783,22.321907,-43.455505,-11.499517,-0.502782,10.038888,0.359130
-0.002131,-0.020240,-0.015979,22.326950,-43.507195,-11.487375,-0.509965,10.093954,0.350751
0.002131,-0.025566,-0.012783,22.550758,-43.561657,-11.645912,-0.529119,10.123882,0.377087
0.002131,-0.029827,-0.010653,22.790203,-43.680885,-11.795194,-0.541090,10.151415,0.344765
0.004261,-0.028762,-0.007457,22.945177,-43.673832,-11.925350,-0.628478,10.091560,0.300472
0.007457,-0.006392,-0.013848,23.029129,-43.518780,-12.065146,-0.876278,10.144233,0.184354
0.027697,0.056459,-0.014914,22.899233,-43.487049,-12.092793,-0.954089,10.237606,0.137667
0.042611,0.122505,-0.014914,22.574146,-43.624424,-12.016868,-0.888249,10.034100,0.225055
0.039415,0.160855,-0.040480,22.294424,-43.815369,-12.114355,-0.679953,10.116699,0.263362
0.046872,0.202400,-0.052198,22.195667,-44.038635,-12.394136,-0.641646,10.208876,0.169988
