gyrX,gyrY,gyrZ,magX,magY,magZ,accX,accY,accZ
-0.033023,0.005326,0.026632,-7.448659,-50.295254,5.338364,-0.436942,9.995792,-1.492785
-0.040480,-0.002131,0.019175,-7.567362,-50.351856,5.302238,-0.442927,9.901221,-1.441309
-0.047937,-0.006392,0.013848,-7.597090,-50.490387,5.374904,-0.460884,9.963470,-1.478420
-0.057524,-0.006392,0.009587,-7.548747,-50.714851,5.559375,-0.426168,9.957485,-1.478420
-0.063916,-0.013848,0.002131,-7.532073,-50.861691,5.820112,-0.434548,10.047267,-1.423353
-0.051133,-0.029827,0.003196,-7.518977,-50.972080,6.110195,-0.383072,10.183737,-1.398214
-0.029827,-0.047937,0.008522,-7.391413,-51.043205,6.252945,-0.387861,10.047267,-1.397017
-0.026632,-0.051133,0.003196,-7.234432,-51.140892,6.118915,-0.538695,9.996989,-1.441309
-0.022371,-0.034088,0.000000,-7.168709,-51.350700,5.834690,-0.691924,10.029311,-1.471237
-0.017044,-0.006392,-0.002131,-7.278352,-51.483437,5.638923,-0.604536,9.935937,-1.459266
-0.024501,-0.002131,-0.010653,-7.583661,-51.493706,5.628082,-0.514753,9.975441,-1.465251
-0.021305,-0.009587,-0.002131,-7.832900,-51.502842,5.781937,-0.439336,10.109517,-1.405396
-0.013848,-0.021305,0.009587,-7.857559,-51.479923,5.954300,-0.432153,10.092757,-1.414973
-0.020240,-0.024501,0.012783,-7.755232,-51.416550,5.908379,-0.551863,9.949105,-1.443704
-0.027697,-0.012783,0.004261,-7.597668,-51.287010,5.752451,-0.586579,9.969456,-1.503559
-0.023436,-0.001065,-0.001065,-7.355836,-51.047585,5.678776,-0.533907,9.981427,-1.435324
-0.015979,-0.001065,-0.006392,-7.106785,-50.907005,5.614431,-0.489614,10.078392,-1.470040
-0.005326,-0.004261,0.002131,-7.052052,-51.004772,5.522740,-0.509965,10.044873,-1.474828
-0.011718,-0.012783,0.010653,-7.279115,-51.152473,5.361907,-0.480037,9.922769,-1.422156
-0.034088,-0.024501,-0.002131,-7.595813,-51.250244,5.199892,-0.454898,9.903615,-1.416170
-0.045806,-0.034088,-0.006392,-7.818394,-51.482979,5.143617,-0.505177,10.010158,-1.507150
-0.042611,-0.040480,0.008522,-7.951963,-51.823174,5.074750,-0.477643,10.024523,-1.414973
-0.050067,-0.041545,0.008522,-7.927501,-51.954353,4.954117,-0.626084,10.016143,-1.394622
-0.041545,-0.030893,0.004261,-7.758176,-51.915188,4.862335,-0.671574,10.188525,-1.422156
0.008522,-0.025566,-0.069242,-7.671955,-51.861813,4.787654,-0.542287,10.809821,-1.629254
0.225836,-0.043676,-0.276969,-7.702089,-51.797497,4.765759,-0.492008,12.588713,-1.723825
0.785100,-0.040480,-0.241815,-7.722685,-51.807781,4.774829,-0.418985,13.656527,-1.003170
1.308145,-0.018109,-0.001065,-7.749412,-51.800858,4.798343,-0.305261,11.244369,-0.878672
1.281513,-0.053263,-0.011718,-7.729198,-51.616974,5.135627,0.093374,8.574833,-0.975637
0.875647,-0.122505,-0.221575,-7.675664,-51.177616,5.794419,-0.276530,7.972692,-1.594538
0.593352,-0.134223,-0.235423,-7.661302,-50.649414,6.477722,-0.650026,8.935161,-2.172738
0.519849,-0.131028,-0.037284,-7.490591,-50.359932,7.111424,-0.612916,8.547300,-2.388216
0.290817,-0.156594,0.066046,-7.130823,-50.200008,7.803586,-0.566229,7.375339,-2.519897
-0.147006,-0.176834,0.033023,-6.841318,-49.930260,8.698272,-0.721852,7.035362,-2.840720
-0.532632,-0.172573,0.011718,-6.627964,-49.605404,9.631149,-0.861913,8.021772,-2.973598
-0.713727,-0.167247,0.088417,-6.389243,-49.393810,10.278944,-0.897826,8.801085,-2.999935
-0.800014,-0.172573,0.159790,-6.126246,-49.367264,10.528962,-0.906205,8.998607,-2.819172
-0.917193,-0.178964,0.105461,-5.903792,-49.445179,10.495367,-1.143231,9.496601,-2.735375
-0.931041,-0.126766,0.036219,-5.937859,-49.507797,10.333087,-1.277307,10.624270,-2.535460
-0.730771,-0.082025,0.055394,-6.236180,-49.594391,10.022644,-1.096544,11.584345,-2.246958
-0.447411,-0.063916,-0.067112,-6.542192,-49.826675,9.435792,-1.022324,12.156559,-2.498349
0.037284,-0.080960,-0.354733,-6.731805,-50.115292,8.565750,-0.785298,14.067132,-1.732205
0.826645,-0.040480,-0.200270,-6.828213,-50.329067,7.658321,-0.840365,13.927072,-0.907402
1.246359,0.001065,0.049002,-6.860959,-50.534061,6.942404,-0.577003,10.075998,-1.163582
0.978978,-0.018109,-0.040480,-6.916120,-50.837330,6.533580,-0.201113,7.592013,-1.227028
0.471912,-0.093743,-0.222640,-7.030336,-51.098392,6.559825,-0.211887,7.779958,-1.699883
0.224771,-0.157659,-0.173638,-7.060909,-50.994083,7.041262,-0.523133,8.870518,-2.182315
0.152333,-0.169377,0.041545,-6.882073,-50.679256,7.867532,-0.872687,8.505402,-2.309207
-0.089482,-0.126766,0.126766,-6.445601,-50.624985,8.738976,-1.143231,7.691373,-2.321178
-0.439954,-0.063916,0.110788,-5.809261,-50.706280,9.384742,-1.266533,7.892486,-2.391808
-0.708401,0.010653,0.105461,-5.233313,-50.553200,9.853843,-1.313220,8.605958,-2.409764
-0.826645,0.076699,0.141680,-4.963596,-50.302437,10.160781,-1.383849,9.269152,-2.272097
-0.893757,0.138484,0.160855,-5.056746,-50.351578,10.167285,-1.132457,9.348161,-2.313996
-0.975782,0.185356,0.128897,-5.363993,-50.769760,9.881560,-1.157596,9.834184,-2.075773
-0.947020,0.188552,-0.033023,-5.697734,-51.278488,9.394192,-0.781707,11.555614,-1.970428
-0.568851,0.165116,-0.068177,-5.978040,-51.581306,8.757930,-0.791284,13.147758,-1.614889
0.000000,0.135289,0.058590,-6.192114,-51.636959,8.190695,-0.591368,12.788629,-1.410185
0.339819,0.094809,0.108657,-6.346838,-51.681625,7.857391,-0.399832,11.177331,-1.222240
0.379234,0.025566,0.001065,-6.442346,-51.710590,7.568160,-0.379481,10.105926,-1.217452
0.370712,-0.025566,-0.070307,-6.520266,-51.544945,7.164689,-0.476446,10.217256,-1.403002
0.443150,-0.046872,0.022371,-6.633760,-51.287678,6.757052,-0.469264,9.640253,-1.432930
0.368582,-0.062851,0.096939,-6.786337,-51.067921,6.531874,-0.525527,8.508993,-1.556231
0.091613,-0.066046,0.043676,-6.912581,-50.954842,6.512656,-0.620098,8.033744,-1.698686
-0.165116,-0.055394,-0.013848,-7.045823,-51.048782,6.669913,-0.709881,8.912416,-1.772906
-0.242880,-0.030893,-0.022371,-7.289638,-51.237980,6.954555,-0.821211,9.908403,-1.865083
-0.173638,-0.006392,-0.004261,-7.552822,-51.301880,7.139768,-0.726640,10.600328,-1.592144
-0.062851,0.009587,0.029827,-7.684069,-51.159809,7.151750,-0.574608,10.626664,-1.504756
-0.017044,0.011718,0.024501,-7.652092,-50.962330,7.167707,-0.628478,10.445902,-1.403002
0.021305,0.000000,-0.001065,-7.593028,-50.925949,7.226943,-0.565032,10.461464,-1.510741
0.087352,-0.009587,-0.007457,-7.532720,-50.973721,7.116963,-0.648829,10.267534,-1.747767
0.126766,-0.017044,-0.011718,-7.335293,-50.933441,6.829170,-0.751779,10.008960,-1.922544
0.119310,-0.012783,-0.012783,-7.170848,-50.829399,6.632196,-0.766145,9.704897,-2.047042
0.087352,-0.012783,0.000000,-7.173479,-50.760040,6.591822,-0.707487,9.558850,-2.085350
0.026632,-0.025566,-0.010653,-7.195996,-50.720970,6.663924,-0.599748,9.560047,-2.038663
-0.007457,-0.038350,-0.008522,-7.134477,-50.600178,6.820010,-0.691924,9.840169,-2.024297
0.000000,-0.037284,0.020240,-6.985614,-50.330650,6.955614,-0.761356,9.834184,-2.048239
-0.015979,-0.025566,0.035154,-6.913584,-49.984058,7.054592,-0.800860,9.570822,-1.942895
-0.061785,-0.014914,0.008522,-7.011280,-49.728657,7.101637,-0.695516,9.707291,-1.952471
-0.075634,-0.010653,0.012783,-7.155848,-49.656441,7.114567,-0.723049,9.956287,-1.914164
-0.061785,-0.011718,0.024501,-7.205106,-49.819633,7.227415,-0.559046,9.988609,-1.885434
-0.053263,-0.025566,0.023436,-7.065475,-50.241100,7.439875,-0.582988,9.974244,-1.817199
-0.051133,-0.025566,0.021305,-6.789042,-50.672791,7.553926,-0.739808,9.880871,-1.892616
-0.062851,-0.005326,-0.002131,-6.546535,-50.890293,7.449937,-0.773327,9.919178,-1.855506
-0.050067,-0.001065,-0.022371,-6.546395,-51.081211,7.321784,-0.593762,10.211270,-1.810017
0.007457,-0.007457,-0.001065,-6.855037,-51.370110,7.385617,-0.585382,10.152613,-1.725022
0.027697,-0.031958,0.010653,-7.220361,-51.589218,7.573043,-0.494403,9.891644,-1.714248
-0.003196,-0.053263,0.003196,-7.406818,-51.612854,7.663623,-0.514753,9.767146,-1.699883
