gyrX,gyrY,gyrZ,magX,magY,magZ,accX,accY,accZ
-0.012783,0.009587,0.006392,-8.873341,-50.016434,4.988393,-0.214281,10.012551,-1.662773
-0.008522,-0.017044,0.006392,-8.693763,-50.142334,4.738971,-0.199916,9.932345,-1.622072
-0.015979,-0.041545,-0.002131,-8.560588,-50.380589,4.743244,-0.233435,9.896433,-1.661576
-0.018109,-0.061785,-0.001065,-8.475938,-50.402637,4.823295,-0.363919,9.945514,-1.679533
-0.019175,-0.067112,0.007457,-8.490607,-50.213142,4.804918,-0.411803,9.900024,-1.674744
-0.035154,-0.066046,0.001065,-8.683422,-50.064053,4.743172,-0.440533,9.832987,-1.716643
-0.045806,-0.058590,-0.009587,-8.863765,-49.978626,4.776861,-0.472855,9.902418,-1.687912
-0.054328,-0.046872,-0.017044,-8.913370,-49.747505,4.894000,-0.512359,9.992201,-1.703475
-0.050067,-0.026632,-0.012783,-8.935256,-49.522251,4.953571,-0.544681,9.994595,-1.703475
-0.044741,-0.009587,-0.005326,-8.880186,-49.567085,4.855085,-0.471658,9.968259,-1.672350
-0.051133,-0.008522,-0.006392,-8.828957,-49.717190,4.685762,-0.432153,10.012551,-1.618480
-0.044741,-0.012783,-0.001065,-8.774857,-49.813622,4.575513,-0.375890,10.073604,-1.649605
-0.031958,-0.019175,0.005326,-8.462859,-49.880180,4.470762,-0.387861,10.013748,-1.569399
-0.026632,-0.022371,0.004261,-8.030071,-49.845058,4.359682,-0.413000,9.999383,-1.632846
-0.024501,-0.022371,-0.005326,-7.788577,-49.753483,4.341799,-0.427365,9.941922,-1.616086
-0.019175,-0.021305,-0.009587,-7.879254,-49.757004,4.416507,-0.446519,9.977836,-1.589750
-0.018109,-0.019175,-0.006392,-8.199700,-49.820091,4.476107,-0.411803,9.961076,-1.617283
-0.021305,-0.021305,-0.010653,-8.566447,-49.810055,4.457307,-0.408211,9.953894,-1.607706
-0.019175,-0.021305,-0.005326,-8.882707,-49.737396,4.464171,-0.426168,9.971850,-1.598130
-0.021305,-0.024501,-0.006392,-9.067707,-49.678902,4.556166,-0.429759,9.951499,-1.624466
-0.027697,-0.027697,-0.008522,-9.168243,-49.653603,4.759686,-0.435745,9.996989,-1.667562
-0.023436,-0.019175,-0.003196,-9.312462,-49.812469,5.094950,-0.464475,9.985018,-1.644817
-0.023436,-0.012783,-0.008522,-9.448995,-50.206001,5.397074,-0.447716,9.896433,-1.644817
-0.029827,-0.009587,-0.009587,-9.346979,-50.604019,5.549329,-0.477643,9.923966,-1.687912
-0.034088,-0.010653,-0.006392,-8.958227,-50.791763,5.585022,-0.398635,9.903615,-1.695095
-0.043676,-0.015979,-0.015979,-8.583722,-50.752838,5.647058,-0.424971,10.079589,-1.674744
-0.020240,-0.024501,-0.015979,-8.468312,-50.628212,5.709394,-0.430956,10.159795,-1.604115
0.005326,-0.024501,-0.028762,-8.573725,-50.531857,5.611070,-0.515950,10.126276,-1.704672
0.046872,-0.008522,-0.055394,-8.719193,-50.423546,5.485174,-0.640449,10.210073,-1.733402
0.128897,0.017044,-0.074569,-8.765916,-50.241886,5.356184,-0.713472,10.485406,-1.726219
0.211988,0.052198,-0.061785,-8.830351,-50.105839,5.043208,-0.606930,10.207679,-1.685518
0.211988,0.070307,-0.063916,-8.949645,-50.108253,4.659332,-0.517148,9.768343,-1.581370
0.159790,0.064981,-0.072438,-8.982323,-50.206909,4.450891,-0.427365,9.678560,-1.683124
0.110788,0.050067,-0.043676,-8.878081,-50.272980,4.411978,-0.361524,9.607931,-1.701080
0.038350,0.035154,-0.001065,-8.714236,-50.265869,4.506274,-0.392649,9.325416,-1.789666
-0.073503,0.021305,0.038350,-8.643440,-50.343994,4.793985,-0.378284,9.011775,-1.716643
-0.241815,-0.007457,0.057524,-8.675574,-50.418308,5.176506,-0.207098,8.693346,-1.855506
-0.460194,-0.046872,0.030893,-8.780079,-50.226128,5.498684,-0.349553,8.833407,-1.964442
-0.582700,-0.077764,0.014914,-9.002333,-49.842026,5.683650,-0.254982,9.786300,-2.038663
-0.537959,-0.105461,0.003196,-9.266539,-49.542915,5.811626,-0.635661,10.848128,-1.968034
-0.320645,-0.092678,0.033023,-9.453958,-49.473915,5.932219,-0.678756,11.431116,-1.699883
-0.091613,-0.068177,0.051133,-9.478498,-49.587914,5.817705,-0.735020,11.010934,-1.480814
0.018109,-0.031958,0.028762,-9.271904,-49.678246,5.361186,-0.756568,10.623073,-1.309628
0.073503,0.004261,0.001065,-9.010665,-49.635460,4.816853,-0.594959,10.433931,-1.345541
0.116114,0.024501,-0.007457,-8.878967,-49.686043,4.412570,-0.560243,10.303447,-1.376666
0.160855,0.033023,-0.031958,-8.775824,-49.979046,4.095819,-0.445322,10.332177,-1.452083
0.243946,0.026632,-0.033023,-8.558240,-50.222580,3.765361,-0.257377,10.390836,-1.319205
0.300405,0.005326,0.002131,-8.418077,-50.284664,3.539201,-0.252588,9.866506,-1.243788
0.237554,-0.014914,-0.003196,-8.580134,-50.290760,3.571175,-0.246603,9.263166,-1.307234
0.096939,-0.034088,-0.041545,-8.765380,-50.284336,3.942830,-0.247800,9.184157,-1.499967
-0.013848,-0.045806,-0.037284,-8.776576,-50.376938,4.536886,-0.304064,9.423578,-1.590947
-0.094809,-0.071373,-0.004261,-8.702430,-50.468807,4.985941,-0.237026,9.296685,-1.629254
-0.204531,-0.104396,-0.017044,-8.617071,-50.349064,5.187734,-0.393846,9.440337,-1.716643
-0.255663,-0.118244,-0.017044,-8.751146,-50.077522,5.261038,-0.539892,9.917980,-1.768118
-0.229032,-0.111853,0.011718,-9.156516,-49.697781,5.273135,-0.690727,10.266336,-1.801637
-0.177899,-0.087352,0.021305,-9.433068,-49.341175,5.327758,-0.770933,10.359711,-1.816002
-0.125701,-0.055394,-0.017044,-9.385511,-49.244236,5.540337,-0.841562,10.582372,-1.825579
-0.001065,-0.022371,-0.102265,-9.192576,-49.438957,5.786271,-0.836774,11.277887,-1.794454
0.257794,0.013848,-0.087352,-8.879458,-49.839340,5.746977,-0.764947,11.495759,-1.611298
0.450607,0.047937,-0.033023,-8.526643,-50.216442,5.430610,-0.611719,10.386047,-1.497573
0.433563,0.064981,-0.059655,-8.284225,-50.451023,5.163020,-0.518345,9.493010,-1.495179
0.297209,0.061785,-0.101200,-8.187045,-50.572025,5.090326,-0.453701,9.270349,-1.655591
0.201335,0.049002,-0.087352,-8.282359,-50.539433,5.155054,-0.486023,9.397242,-1.798046
0.132093,0.035154,-0.034088,-8.391335,-50.484425,5.346895,-0.416591,9.205706,-1.847127
0.017044,0.009587,-0.009587,-8.366497,-50.519367,5.620736,-0.469264,9.153033,-1.892616
-0.100135,-0.013848,0.008522,-8.297512,-50.545815,5.820144,-0.414197,9.296685,-1.877054
-0.185356,-0.042611,0.019175,-8.235946,-50.444195,5.885143,-0.435745,9.404425,-1.914164
-0.250337,-0.068177,0.020240,-8.175272,-50.167995,5.887893,-0.480037,9.672575,-1.917756
-0.276969,-0.089482,0.034088,-7.963748,-49.833267,5.830664,-0.590171,9.959879,-1.812411
-0.263120,-0.098004,0.047937,-7.662670,-49.625862,5.696766,-0.612916,10.228029,-1.869871
-0.207727,-0.105461,0.040480,-7.601120,-49.639137,5.567622,-0.708684,10.478224,-1.823185
-0.117179,-0.095874,0.036219,-7.770112,-49.739799,5.466390,-0.792481,10.606314,-1.826776
-0.027697,-0.056459,0.041545,-7.956396,-49.802410,5.383749,-0.962469,10.450690,-1.841141
0.028762,0.000000,0.018109,-8.054674,-49.968067,5.489655,-0.948104,10.211270,-1.796848
0.067112,0.053263,-0.014914,-8.106314,-50.194687,5.768570,-0.809240,10.181343,-1.783680
0.107592,0.080960,-0.012783,-8.155149,-50.361019,5.956128,-0.581791,10.052056,-1.674744
0.112918,0.080960,-0.002131,-8.192979,-50.628937,5.973848,-0.413000,9.786300,-1.686715
0.072438,0.055394,0.013848,-8.277449,-50.907185,5.921792,-0.271742,9.467871,-1.656788
-0.007457,0.020240,0.015979,-8.397164,-50.882889,5.935795,-0.276530,9.323022,-1.635240
-0.104396,-0.017044,-0.002131,-8.435782,-50.570457,6.023115,-0.325611,9.368511,-1.728614
-0.169377,-0.041545,-0.009587,-8.309254,-50.182259,6.053933,-0.439336,9.624691,-1.826776
-0.192813,-0.051133,-0.001065,-8.128899,-49.760487,6.007125,-0.517148,9.907207,-1.799243
-0.197074,-0.051133,0.008522,-8.092159,-49.317097,5.947358,-0.577003,10.011354,-1.770512
-0.174703,-0.046872,-0.001065,-8.146127,-49.084782,5.774460,-0.622492,10.259154,-1.671153
-0.118244,-0.035154,-0.002131,-8.262424,-49.192257,5.522374,-0.650026,10.527305,-1.675941
-0.042611,-0.020240,0.004261,-8.504241,-49.529816,5.371449,-0.667982,10.473435,-1.632846
0.024501,-0.003196,-0.003196,-8.639360,-49.910439,5.254177,-0.626084,10.387244,-1.605312
0.087352,0.007457,-0.010653,-8.607698,-50.191750,5.116806,-0.602142,10.364499,-1.557428
0.136354,0.012783,-0.004261,-8.591727,-50.295700,4.997029,-0.524330,10.140641,-1.541866
0.148072,0.012783,-0.001065,-8.645798,-50.234982,4.894522,-0.438139,9.791088,-1.598130
0.115049,0.006392,-0.006392,-8.692923,-50.122486,4.835399,-0.509965,9.613917,-1.618480
