gyrX,gyrY,gyrZ,magX,magY,magZ,accX,accY,accZ
0.000832,-0.001165,-0.009787,-9.276518,-54.635529,-6.075137,0.009577,10.077195,-0.067038
-0.010886,0.005226,0.001931,-9.382264,-54.851139,-5.922751,-0.017957,10.230424,-0.095768
-0.005559,0.020140,0.021106,-9.463290,-55.040020,-5.929717,0.010774,10.126276,-0.123301
-0.005559,0.028662,0.013649,-9.457082,-55.089668,-5.996562,0.071826,10.119094,-0.081403
0.000832,0.024401,-0.000200,-9.365902,-55.048145,-6.167850,0.071826,10.103531,-0.037110
-0.000233,0.014814,-0.015113,-9.177958,-54.911922,-6.340265,0.061052,10.072407,-0.026336
-0.002364,0.009488,-0.011918,-9.040391,-54.831657,-6.330623,0.088585,10.199299,-0.083797
0.004028,0.007357,0.008322,-8.998655,-54.927643,-6.280480,0.064643,10.217256,-0.082600
0.010420,0.003096,0.014714,-8.877332,-54.940323,-6.324845,0.011971,10.182540,-0.110133
0.011485,0.000965,0.012583,-8.697476,-54.806793,-6.435257,0.041899,10.107122,-0.132878
0.004028,0.007357,0.010453,-8.569810,-54.733776,-6.599894,-0.055067,10.080787,-0.150835
-0.004494,0.014814,0.012583,-8.581419,-54.733826,-6.742990,0.009577,10.052056,-0.216675
-0.009820,0.022271,0.022171,-8.835404,-54.724209,-6.713854,0.061052,10.067618,-0.148441
-0.010886,0.022271,0.012583,-9.229100,-54.593113,-6.459765,0.124498,10.035296,-0.118513
-0.021538,0.008422,-0.010852,-9.522508,-54.340874,-6.133694,0.143652,10.132261,-0.092177
-0.005559,0.003096,0.009388,-9.576316,-54.199478,-5.897179,0.063446,10.207679,-0.148441
-0.003429,0.003096,0.025367,-9.519888,-54.257786,-5.720563,0.128090,9.974244,-0.093374
-0.035387,0.000965,0.011518,-9.511061,-54.281155,-5.577825,0.041899,9.886856,-0.126893
-0.055627,0.000965,0.011518,-9.541561,-54.238667,-5.494370,0.044293,10.014946,-0.171185
-0.093976,0.010553,0.020040,-9.673885,-54.336456,-5.485440,-0.045490,9.862914,-0.227449
-0.157892,0.030793,0.047737,-9.917722,-54.541267,-5.647489,-0.084994,9.715671,-0.259771
-0.237787,0.026532,0.083956,-10.066238,-54.756443,-5.988506,0.263362,9.744401,-0.238223
-0.307029,-0.027797,0.112718,-10.058805,-54.873837,-6.325570,0.350751,9.684546,-0.141258
-0.433796,-0.049102,0.164916,-10.043362,-54.693645,-6.474100,0.104148,9.303867,-0.221464
-0.597846,-0.024601,0.222441,-10.071956,-54.371304,-6.428141,0.032322,9.081207,-0.204704
-0.751244,0.008422,0.205396,-10.143818,-54.213020,-6.442806,-0.017957,8.944737,-0.076614
-0.886533,0.045707,0.142546,-10.265857,-54.215252,-6.719249,0.037110,9.155427,0.043096
