gyrX,gyrY,gyrZ,magX,magY,magZ,accX,accY,accZ
-0.004494,0.006292,-0.005526,14.025387,-32.111347,-5.607819,-0.192733,10.162189,-0.260968
0.000832,0.009488,-0.008722,13.989834,-31.801714,-5.563628,-0.201113,10.150218,-0.259771
0.004028,0.008422,-0.009787,14.022429,-31.971186,-5.393229,-0.185551,10.115502,-0.292093
0.006159,0.002031,-0.008722,14.110812,-32.380466,-5.181440,-0.148441,10.108319,-0.246603
0.002963,-0.005426,-0.009787,14.223188,-32.600559,-5.080886,-0.164003,10.121488,-0.296881
0.001898,-0.008622,-0.008722,14.265392,-32.612499,-5.097903,-0.175974,10.151415,-0.271742
0.006159,-0.008622,0.005127,14.206344,-32.641430,-5.108315,-0.254982,10.029311,-0.278924
-0.004494,-0.004361,-0.003396,14.095779,-32.850910,-5.113514,-0.204704,10.122684,-0.272939
-0.002364,-0.000100,0.000866,14.086423,-33.209072,-5.189424,-0.199916,10.178948,-0.290895
0.001898,0.004161,0.002996,14.260874,-33.522800,-5.165308,-0.256180,10.096349,-0.269348
-0.002364,0.004161,-0.008722,14.518266,-33.604744,-4.949730,-0.186748,10.089166,-0.251391
-0.013016,-0.002230,-0.015113,14.704933,-33.396454,-4.833852,-0.193930,10.190920,-0.233435
-0.011951,-0.004361,-0.007657,14.776328,-33.090782,-4.981531,-0.181959,10.103531,-0.239420
-0.013016,-0.007557,-0.005526,14.823080,-32.828804,-5.196155,-0.216675,10.090364,-0.222661
-0.010886,-0.010753,-0.011918,14.863651,-32.595013,-5.415112,-0.168791,10.060435,-0.252588
-0.016212,-0.015014,-0.008722,14.789315,-32.569435,-5.667025,-0.265756,10.040085,-0.239420
-0.026865,-0.015014,-0.010852,14.600585,-32.796829,-5.855116,-0.210690,10.140641,-0.244209
-0.016212,-0.007557,-0.007657,14.483660,-33.114864,-5.916107,-0.243011,10.172963,-0.268151
-0.010886,-0.001165,-0.004461,14.617178,-33.383541,-5.874629,-0.292093,10.180145,-0.256180
-0.004494,0.000965,-0.004461,14.903258,-33.530914,-5.792423,-0.245406,10.271125,-0.208296
0.000832,0.005226,-0.001265,15.101644,-33.650570,-5.647654,-0.235829,10.087969,-0.217872
0.005093,0.008422,0.000866,15.100106,-33.837223,-5.516510,-0.266953,10.364499,-0.250194
0.047704,0.011618,0.000866,14.899465,-34.048618,-5.506912,-0.241814,10.319010,-0.272939
0.082858,0.008422,-0.032158,14.643451,-34.051826,-5.423647,-0.203507,10.368091,-0.282516
0.167013,-0.000100,-0.081160,14.500753,-33.776814,-5.202912,-0.282516,10.928333,-0.454898
0.341717,0.005226,-0.080095,14.440424,-33.573818,-5.032825,-0.331597,11.341333,-0.459687
0.505768,0.014814,-0.061985,14.401792,-33.553207,-4.901298,-0.181959,10.960655,-0.440533
0.621881,0.014814,-0.077964,14.500134,-33.417343,-4.750818,-0.369904,10.651803,-0.378284
0.675145,0.025466,-0.056659,14.718743,-33.104134,-4.590151,-0.272939,10.042479,-0.367510
0.630404,0.027597,-0.098204,14.951449,-32.797611,-4.397281,-0.341174,9.904813,-0.623690
0.608033,0.046772,-0.074768,15.203935,-32.687500,-4.198811,-0.367510,9.882068,-0.697910
0.545182,0.059555,-0.061985,15.356297,-32.781178,-3.978422,-0.284910,9.469068,-0.817620
0.442917,0.061685,-0.066246,15.341809,-32.836166,-3.656499,-0.280122,9.435549,-0.949301
0.344913,0.058490,-0.048137,15.265537,-32.744049,-3.259722,-0.290895,9.416395,-1.029507
0.231995,0.049968,-0.027897,15.130342,-32.481075,-2.860680,-0.220267,9.313444,-1.090559
0.109489,0.036119,0.001931,14.919618,-32.070091,-2.419911,-0.227449,9.266758,-1.169568
-0.032191,0.020140,0.031758,14.803663,-31.759098,-1.956953,-0.278924,9.271546,-1.276109
-0.157892,0.005226,0.020040,14.845004,-31.631659,-1.560199,-0.277727,9.555259,-1.459266
-0.220743,0.005226,0.049868,14.834804,-31.617430,-1.287934,-0.330400,9.595961,-1.440112
-0.310225,0.007357,0.053063,14.668939,-31.763155,-1.157742,-0.325611,9.393650,-1.379060
-0.413556,0.003096,0.048802,14.491492,-31.955820,-1.150872,-0.310049,9.477448,-1.230620
-0.512625,0.005226,0.061586,14.417829,-31.971527,-1.353724,-0.269348,9.410410,-1.083376
-0.626608,-0.001165,0.057325,14.408307,-31.914000,-1.690362,-0.270545,9.497798,-1.073799
-0.708634,0.002031,0.053063,14.490780,-31.979561,-2.022899,-0.348356,9.718064,-0.992397
-0.752310,0.008422,0.059455,14.615732,-32.060863,-2.362317,-0.316035,9.877279,-0.851139
-0.783202,0.013749,0.029628,14.706471,-32.192249,-2.696343,-0.386664,10.071210,-0.735020
-0.749114,0.019075,0.038150,14.837161,-32.471317,-3.078400,-0.523133,10.538078,-0.586579
-0.634065,0.025466,-0.012983,14.946323,-32.696991,-3.690365,-0.290895,11.198878,-0.682347
-0.431665,0.039315,0.044541,14.994016,-32.800823,-4.632872,-0.320823,11.016919,-0.288501
-0.304899,0.028662,0.022171,14.958451,-32.947037,-5.634822,-0.283713,10.594342,-0.056264
-0.205829,0.024401,-0.000200,14.712070,-33.246120,-6.465885,-0.240617,10.832565,0.069432
-0.119543,0.016944,0.027497,14.413802,-33.603092,-7.005803,-0.234632,10.538078,0.186748
-0.069475,0.008422,0.011518,14.342802,-33.902195,-7.077094,-0.152032,10.454282,0.138864
-0.026865,-0.002230,0.028562,14.453784,-34.188686,-6.880767,-0.246603,10.262746,0.245406
